"","period","group","parameter","0.1","0.5","0.9"
"1","2000, 2015","Alert","arr",0.369634660030144,1.86718701356984,2.77442466063658
"2","2000, 2015","Alert","percent_change_in_mmr",5.3936127455477,24.4275246643686,34.0427708832412
"3","2000, 2015","Elevated warning","arr",5.25087954920147,5.95046231417004,6.81230056565503
"4","2000, 2015","Elevated warning","percent_change_in_mmr",54.50791933808,59.0398009990137,64.0069774604003
"5","2000, 2015","High warning","arr",3.75393390413275,4.5408020842253,5.25035910755735
"6","2000, 2015","High warning","percent_change_in_mmr",43.0553296603937,49.3950256693434,54.5043679851339
"7","2000, 2015","Stable","arr",1.48570564011022,1.78420147816549,2.09001830282115
"8","2000, 2015","Stable","percent_change_in_mmr",19.9769802568609,23.4809320311315,26.9117627341255
"9","2000, 2015","Very high alert & High alert","arr",1.05183683428583,2.48719888172404,3.73359733920497
"10","2000, 2015","Very high alert & High alert","percent_change_in_mmr",14.5958523998184,31.1389742478312,42.8813549242356
"11","2000, 2015","Warning","arr",2.00408345514944,3.10319166845765,4.03555994948333
"12","2000, 2015","Warning","percent_change_in_mmr",25.9635405068689,37.2165541987073,45.4107925789977
"13","2000, 2020","Alert","arr",0.276341743375643,1.81824537349051,2.63305587404821
"14","2000, 2020","Alert","percent_change_in_mmr",5.37687681687694,30.4864907434822,40.9396966962936
"15","2000, 2020","Elevated warning","arr",4.5401292234848,5.22089252292836,6.03186101992215
"16","2000, 2020","Elevated warning","percent_change_in_mmr",59.6680345667447,64.8019147481433,70.0718952715287
"17","2000, 2020","High warning","arr",3.45491887726494,4.18826911462891,4.84866256097678
"18","2000, 2020","High warning","percent_change_in_mmr",49.8917091207103,56.7275418122909,62.0815547648293
"19","2000, 2020","Stable","arr",0.339997859396378,0.908121029911548,1.44320766154446
"20","2000, 2020","Stable","percent_change_in_mmr",6.57391264094471,16.6085327403614,25.0719249788039
"21","2000, 2020","Very high alert & High alert","arr",1.10309367797339,2.41553032237492,3.53419027781391
"22","2000, 2020","Very high alert & High alert","percent_change_in_mmr",19.7977595049288,38.3135607364532,50.6798789043687
"23","2000, 2020","Warning","arr",0.928704776533615,2.03602859689698,2.90513751304547
"24","2000, 2020","Warning","percent_change_in_mmr",16.9511298067892,33.4492731422615,44.06766341983
"25","2010, 2020","Alert","arr",-0.544665896693935,1.82551333146724,3.08343204286865
"26","2010, 2020","Alert","percent_change_in_mmr",-5.59771955671914,16.6858124963217,26.5336863675918
"27","2010, 2020","Elevated warning","arr",3.33337595696765,4.29538055655034,5.55441207746962
"28","2010, 2020","Elevated warning","percent_change_in_mmr",28.3471742554647,34.9190335564272,42.6180957779321
"29","2010, 2020","High warning","arr",3.29556106166774,4.31629873413755,5.26403934805682
"30","2010, 2020","High warning","percent_change_in_mmr",28.0757069707328,35.0550288896429,40.9274557864902
"31","2010, 2020","Stable","arr",-1.58735288799033,-0.471157670315265,0.590535749671737
"32","2010, 2020","Stable","percent_change_in_mmr",-17.2027656768448,-4.82433636067627,5.73437349687055
"33","2010, 2020","Very high alert & High alert","arr",-0.0434319948245541,1.70360135144767,3.18028471876777
"34","2010, 2020","Very high alert & High alert","percent_change_in_mmr",-0.435264507677025,15.6638960472887,27.241792727893
"35","2010, 2020","Warning","arr",-1.11869948622283,0.518913835838102,1.77280973433402
"36","2010, 2020","Warning","percent_change_in_mmr",-11.8367409063791,5.05680140727161,16.2455576158964
"37","2000, 2005","Alert","arr",0.319319805967808,1.88481149969948,3.18728159320466
"38","2000, 2005","Alert","percent_change_in_mmr",1.5839208447677,8.99362026804812,14.7314143084658
"39","2000, 2005","Elevated warning","arr",3.69580767988042,4.99665081292869,6.58749337576989
"40","2000, 2005","Elevated warning","percent_change_in_mmr",16.8721484938011,22.1068788445173,28.0626559711971
"41","2000, 2005","High warning","arr",3.44543828918387,4.53063340479706,5.53735780881278
"42","2000, 2005","High warning","percent_change_in_mmr",15.8249740982025,20.270590857784,24.1845350005817
"43","2000, 2005","Stable","arr",1.60244470533467,2.25413022171179,2.88575012723825
"44","2000, 2005","Stable","percent_change_in_mmr",7.69964836884659,10.658717158442,13.4361164393343
"45","2000, 2005","Very high alert & High alert","arr",1.2635859879064,3.07243779049676,4.77895963437845
"46","2000, 2005","Very high alert & High alert","percent_change_in_mmr",6.12248571415405,14.2403774144395,21.2544155768518
"47","2000, 2005","Warning","arr",1.25204776093092,2.61838210077575,3.90741943853649
"48","2000, 2005","Warning","percent_change_in_mmr",6.06831167708133,12.2711260024204,17.7470533888298
