"","period","group","parameter","0.1","0.5","0.9"
"1","2000, 2015","Australia/New Zealand","arr",0.643450967647578,1.71756761336283,2.65106448569847
"2","2000, 2015","Australia/New Zealand","percent_change_in_mmr",9.20061128317421,22.7122828885416,32.8109345772507
"3","2000, 2015","Central and Southern Asia","arr",5.17654099719488,6.07854889498259,6.95855554551188
"4","2000, 2015","Central and Southern Asia","percent_change_in_mmr",53.9978084998354,59.8192569675946,64.7880027087944
"5","2000, 2015","Eastern and South-Eastern Asia","arr",2.3643096397621,3.46682646901557,4.35404441697144
"6","2000, 2015","Eastern and South-Eastern Asia","percent_change_in_mmr",29.8578610189325,40.5493701419353,47.9573522897671
"7","2000, 2015","Europe and Northern America","arr",2.40383715389608,2.89442984204604,3.39641705917583
"8","2000, 2015","Europe and Northern America","percent_change_in_mmr",30.2725119629887,35.2194301959026,39.9181603389336
"9","2000, 2015","Latin America and the Caribbean","arr",0.744786938223785,1.19522008390657,1.55161189180697
"10","2000, 2015","Latin America and the Caribbean","percent_change_in_mmr",10.570362285469,16.4130695478155,20.7641853012555
"11","2000, 2015","Northern Africa and Western Asia","arr",2.8164814676691,4.01603387199138,5.25404481297732
"12","2000, 2015","Northern Africa and Western Asia","percent_change_in_mmr",34.4575538240361,45.2506707506864,54.5295136336138
"13","2000, 2015","Oceania (excluding Australia and New Zealand)","arr",0.243829793693388,2.42409133548887,4.16515572575348
"14","2000, 2015","Oceania (excluding Australia and New Zealand)","percent_change_in_mmr",3.59135617587087,30.4840315718261,46.4617245394227
"15","2000, 2015","Sub-Saharan Africa","arr",0.982709599615637,2.05026408479897,2.75409054671982
"16","2000, 2015","Sub-Saharan Africa","percent_change_in_mmr",13.7056824819027,26.4746256557748,33.8412864839579
"17","2000, 2020","Australia/New Zealand","arr",2.67820829715526,3.58825339914001,4.53927548721508
"18","2000, 2020","Australia/New Zealand","percent_change_in_mmr",41.4706386090775,51.2102862209756,59.6611473618537
"19","2000, 2020","Central and Southern Asia","arr",4.75804882439261,5.62490009951943,6.4814319143091
"20","2000, 2020","Central and Southern Asia","percent_change_in_mmr",61.3881037811364,67.534104480261,72.6454245334455
"21","2000, 2020","Eastern and South-Eastern Asia","arr",1.37737297541241,2.49224810743204,3.32883669381969
"22","2000, 2020","Eastern and South-Eastern Asia","percent_change_in_mmr",24.0788261339246,39.2528258612487,48.6120940931556
"23","2000, 2020","Europe and Northern America","arr",0.605795524276761,1.39742331810868,2.20177366539015
"24","2000, 2020","Europe and Northern America","percent_change_in_mmr",11.4107001496138,24.382667477818,35.6191995105343
"25","2000, 2020","Latin America and the Caribbean","arr",-0.461335225130542,0.140576688113804,0.643942665078698
