"","period","group","parameter","0.1","0.5","0.9"
"1","2000, 2015","Arab States","arr",2.29183460174977,3.59265568399412,4.83852609478649
"2","2000, 2015","Arab States","percent_change_in_mmr",29.0911679868178,41.6609402024113,51.6052528795242
"3","2000, 2015","Asia and the Pacific","arr",4.76285368401652,5.55272265571453,6.27782923672874
"4","2000, 2015","Asia and the Pacific","percent_change_in_mmr",51.0528016016788,56.5217074626199,61.0025678386333
"5","2000, 2015","East and Southern Africa","arr",2.36162562895415,3.4080785827428,4.22333279062986
"6","2000, 2015","East and Southern Africa","percent_change_in_mmr",29.8296159768748,40.0231648978675,46.9268967754225
"7","2000, 2015","Eastern Europe and Central Asia","arr",3.56243551217761,4.31643322308122,5.06892635108526
"8","2000, 2015","Eastern Europe and Central Asia","percent_change_in_mmr",41.3958883085565,47.6629149641198,53.2492062620812
"9","2000, 2015","Latin American and Caribbean","arr",0.757017238897513,1.20778707045902,1.56376357612554
"10","2000, 2015","Latin American and Caribbean","percent_change_in_mmr",10.7342745948463,16.5704865132082,20.9084810269861
"11","2000, 2015","non-UNFPA","arr",2.14816234118178,2.58869911099513,3.05284520343573
"12","2000, 2015","non-UNFPA","percent_change_in_mmr",27.5464377744533,32.1794448560574,36.7406205206867
"13","2000, 2015","West and Central Africa","arr",-0.670889609048524,1.19739832843778,2.09760648013724
"14","2000, 2015","West and Central Africa","percent_change_in_mmr",-10.5871250572787,16.4403759314933,26.9949063857661
"15","2000, 2020","Arab States","arr",1.70637398730466,2.95045464776893,4.05375119208104
"16","2000, 2020","Arab States","percent_change_in_mmr",28.9136448776806,44.5723117512395,55.5475557322107
"17","2000, 2020","Asia and the Pacific","arr",4.01432411320149,4.75409388466083,5.47906347560607
"18","2000, 2020","Asia and the Pacific","percent_change_in_mmr",55.195644001153,61.357550156519,66.5732160888294
"19","2000, 2020","East and Southern Africa","arr",2.19040260154248,3.29844452027744,4.07503035948827
"20","2000, 2020","East and Southern Africa","percent_change_in_mmr",35.4726171713584,48.2987850121927,55.7363359926661
"21","2000, 2020","Eastern Europe and Central Asia","arr",2.33136164889832,3.12894674387363,3.94385349356143
"22","2000, 2020","Eastern Europe and Central Asia","percent_change_in_mmr",37.2663579665735,46.5160912707602,54.5596945837012
"23","2000, 2020","Latin American and Caribbean","arr",-0.450554661821174,0.15331755749098,0.656197846294838
"24","2000, 2020","Latin American and Caribbean","percent_change_in_mmr",-9.4295670053348,3.01981544687898,12.2992354285772
"25","2000, 2020","non-UNFPA","arr",0.528670719984356,1.25520868599206,1.97663986558187
"26","2000, 2020","non-UNFPA","percent_change_in_mmr",10.0336202594557,22.2010100212388,32.6540873460508
"27","2000, 2020","West and Central Africa","arr",-0.638931554756065,1.21235996488572,2.0537548216711
"28","2000, 2020","West and Central Africa","percent_change_in_mmr",-13.6310175054943,21.5314273684597,33.684793795869
"29","2010, 2020","Arab States","arr",0.618805209765087,2.34855629621836,3.83892834019384
"30","2010, 2020","Arab States","percent_change_in_mmr",6.00048056699253,20.9315005477268,31.8795565088704
"31","2010, 2020","Asia and the Pacific","arr",2.46759444085572,3.63061790358842,4.67397787423612
"32","2010, 2020","Asia and the Pacific","percent_change_in_mmr",21.8671367090179,30.4456545180964,37.3369221279756
"33","2010, 2020","East and Southern Africa","arr",1.79504192135189,3.46053960989052,4.60945065061386
