"","period","group","parameter","0.1","0.5","0.9"
"1","2000, 2015","East Asia and Pacific","arr",2.36719284091781,3.43120966921462,4.30702648433293
"2","2000, 2015","East Asia and Pacific","percent_change_in_mmr",29.8881895502137,40.2309041474542,47.5890146435335
"3","2000, 2015","Europe and Central Asia","arr",4.45217007578712,4.97265160595191,5.50007864137676
"4","2000, 2015","Europe and Central Asia","percent_change_in_mmr",48.7177507047519,52.5691697206482,56.1770176060429
"5","2000, 2015","Latin America and Caribbean","arr",0.757017238897513,1.20778707045902,1.56376357612554
"6","2000, 2015","Latin America and Caribbean","percent_change_in_mmr",10.7342745948463,16.5704865132082,20.9084810269861
"7","2000, 2015","Middle East and North Africa","arr",2.96266010560939,3.9714999777776,4.95563795789875
"8","2000, 2015","Middle East and North Africa","percent_change_in_mmr",35.8790482900275,44.8837165849134,52.4479694055471
"9","2000, 2015","North America","arr",-3.01804370071529,-2.48347451678047,-1.95468217004329
"10","2000, 2015","North America","percent_change_in_mmr",-57.2562659984766,-45.1389215927718,-34.0714024109216
"11","2000, 2015","South Asia","arr",4.99960499297622,5.90627722770464,6.80213196353534
"12","2000, 2015","South Asia","percent_change_in_mmr",52.7605458088403,58.7674248405459,63.9520357660076
"13","2000, 2015","Sub-Saharan Africa","arr",1.08873567029618,2.12079748940326,2.81704642288145
"14","2000, 2015","Sub-Saharan Africa","percent_change_in_mmr",15.0672441754349,27.2484244241031,34.4631078603412
"15","2000, 2020","East Asia and Pacific","arr",1.38318295126109,2.46827553265574,3.28138504492518
"16","2000, 2020","East Asia and Pacific","percent_change_in_mmr",24.1669967021323,38.9608733116567,48.1220846167622
"17","2000, 2020","Europe and Central Asia","arr",2.84585915705247,3.45307043556123,4.02872600133996
"18","2000, 2020","Europe and Central Asia","percent_change_in_mmr",43.4006016180873,49.8731847759359,55.3245119192689
"19","2000, 2020","Latin America and Caribbean","arr",-0.450554661821174,0.15331755749098,0.656197846294838
"20","2000, 2020","Latin America and Caribbean","percent_change_in_mmr",-9.4295670053348,3.01981544687898,12.2992354285772
"21","2000, 2020","Middle East and North Africa","arr",2.15137338841794,3.2030502843965,4.22580233054415
"22","2000, 2020","Middle East and North Africa","percent_change_in_mmr",34.9669550407336,47.302915476946,57.0511564641609
"23","2000, 2020","North America","arr",-3.98376527163382,-2.7504136608402,-1.51153638253383
"24","2000, 2020","North America","percent_change_in_mmr",-121.832647382573,-73.3396420621232,-35.2976901420056
"25","2000, 2020","South Asia","arr",4.64969055348444,5.52318412865486,6.39118226058257
"26","2000, 2020","South Asia","percent_change_in_mmr",60.5421870083076,66.8668807447004,72.1471934760559
"27","2000, 2020","Sub-Saharan Africa","arr",0.983723527754366,2.0562930923486,2.72930113398187
"28","2000, 2020","Sub-Saharan Africa","percent_change_in_mmr",17.8599694117513,33.7184493220168,42.0656797055859
"29","2010, 2020","East Asia and Pacific","arr",-0.313978498827777,1.20066060284627,2.44953028550042
"30","2010, 2020","East Asia and Pacific","percent_change_in_mmr",-3.18959621698576,11.3138151152828,21.7258696036261
"31","2010, 2020","Europe and Central Asia","arr",0.418423765924779,1.5813622468972,2.60890064477817
"32","2010, 2020","Europe and Central Asia","percent_change_in_mmr",4.0979065816583,14.626652441771,22.9634394295101
"33","2010, 2020","Latin America and Caribbean","arr",-2.14403558132879,-1.04919688348435,-0.0560599499245238
"34","2010, 2020","Latin America and Caribbean","percent_change_in_mmr",-23.9122612471284,-11.0621411510784,-0.562173798832067
"35","2010, 2020","Middle East and North Africa","arr",0.275340949872336,1.99509911074205,3.44833201089227
"36","2010, 2020","Middle East and North Africa","percent_change_in_mmr",2.71584847750075,18.086789765461,29.1661504184856
"37","2010, 2020","North America","arr",-6.199257029093,-3.74091388936028,-1.23762205771385
"38","2010, 2020","North America","percent_change_in_mmr",-85.8789934506263,-45.3669993904032,-13.1746717315037
"39","2010, 2020","South Asia","arr",3.38313774453749,4.81499513631507,6.13624351267746
"40","2010, 2020","South Asia","percent_change_in_mmr",28.7028457657686,38.2143786901968,45.8614860564991
"41","2010, 2020","Sub-Saharan Africa","arr",0.453571339039515,2.12454609059967,3.12009628075458
"42","2010, 2020","Sub-Saharan Africa","percent_change_in_mmr",4.43438682749848,19.1402977822026,26.8025516203862
"43","2000, 2005","East Asia and Pacific","arr",1.51586772921676,2.78290717157131,3.89512565265388
"44","2000, 2005","East Asia and Pacific","percent_change_in_mmr",7.29922693946438,12.9898457450483,17.6964778279052
"45","2000, 2005","Europe and Central Asia","arr",4.23281192943561,5.32556871829337,6.49748620434758
"46","2000, 2005","Europe and Central Asia","percent_change_in_mmr",19.0744505412783,23.3774246927227,27.7381826233464
"47","2000, 2005","Latin America and Caribbean","arr",0.628400427800181,1.26395462884669,1.81547479017352
"48","2000, 2005","Latin America and Caribbean","percent_change_in_mmr",3.09315418878263,6.12421665924399,8.67756856240962
"49","2000, 2005","Middle East and North Africa","arr",3.02675133642026,4.34984821769291,5.67576730266031
"50","2000, 2005","Middle East and North Africa","percent_change_in_mmr",14.0442507988412,19.5466289400419,24.7074026761477
"51","2000, 2005","North America","arr",-3.30696113742321,-2.42444536259243,-1.54102376464591
"52","2000, 2005","North America","percent_change_in_mmr",-17.9803686062334,-12.8875797598124,-8.00973637279319
"53","2000, 2005","South Asia","arr",3.61153739206553,5.1149514364446,6.59417582030859
"54","2000, 2005","South Asia","percent_change_in_mmr",16.5211491464227,22.5662589217951,28.0866871312601
"55","2000, 2005","Sub-Saharan Africa","arr",1.30858371929428,2.41681561434571,3.35748412547678
"56","2000, 2005","Sub-Saharan Africa","percent_change_in_mmr",6.33346228933198,11.3824955418534,15.4539818338041
"57","2005, 2010","East Asia and Pacific","arr",3.1685969510106,4.68903968839933,5.9446019633632
"58","2005, 2010","East Asia and Pacific","percent_change_in_mmr",14.6517164327633,20.8995785193589,25.7126941009036
"59","2005, 2010","Europe and Central Asia","arr",4.3060763217025,5.30686131525495,6.36784480011202
"60","2005, 2010","Europe and Central Asia","percent_change_in_mmr",19.3703562643239,23.305720688618,27.2682550254644
"61","2005, 2010","Latin America and Caribbean","arr",0.524844405208917,1.4827688731037,2.19288215381547
"62","2005, 2010","Latin America and Caribbean","percent_change_in_mmr",2.59008852507305,7.14568659540413,10.3846987484726
"63","2005, 2010","Middle East and North Africa","arr",3.21472945534876,4.55049158434876,5.89458988142139
"64","2005, 2010","Middle East and North Africa","percent_change_in_mmr",14.8483559942664,20.3497156080621,25.5266984902895
"65","2005, 2010","North America","arr",-1.97218676114602,-1.10493364399189,-0.260816625277579
"66","2005, 2010","North America","percent_change_in_mmr",-10.3635067253375,-5.68012765878384,-1.31262337934235
"67","2005, 2010","South Asia","arr",5.8741237896716,7.36678800225681,8.81959339346371
"68","2005, 2010","South Asia","percent_change_in_mmr",25.4504506206352,30.8117683074055,35.659421162956
"69","2005, 2010","Sub-Saharan Africa","arr",0.233003110992921,1.638648385451,2.63598700945567
"70","2005, 2010","Sub-Saharan Africa","percent_change_in_mmr",1.15825552599915,7.86657789499609,12.3483149859557
"71","2010, 2015","East Asia and Pacific","arr",1.12104402285622,2.85287364447431,4.29307247852354
"72","2010, 2015","East Asia and Pacific","percent_change_in_mmr",5.45102194962481,13.293703588092,19.3179143998255
"73","2010, 2015","Europe and Central Asia","arr",3.20664165929319,4.2626657602448,5.28116289132139
"74","2010, 2015","Europe and Central Asia","percent_change_in_mmr",14.813914640994,19.195157312788,23.2071112451956
"75","2010, 2015","Latin America and Caribbean","arr",0.0855418545893959,0.87904549266455,1.70567828678244
"76","2010, 2015","Latin America and Caribbean","percent_change_in_mmr",0.426795869828104,4.30003702487456,8.1748457254923
"77","2010, 2015","Middle East and North Africa","arr",1.23913028485986,3.02694105233028,4.68487088602982
"78","2010, 2015","Middle East and North Africa","percent_change_in_mmr",6.00762360226089,14.0450661787054,20.8830892079037
"79","2010, 2015","North America","arr",-5.52336830850858,-3.95105223086694,-2.25221946531625
"80","2010, 2015","North America","percent_change_in_mmr",-31.8069828785902,-21.841716609355,-11.9196452102923
"81","2010, 2015","South Asia","arr",3.6374877379513,5.24415904800885,6.82753278484127
