"","period","group","parameter","0.1","0.5","0.9"
"1","2000, 2015","East Asia and Pacific","arr",2.36719284091781,3.43120966921462,4.30702648433293
"2","2000, 2015","East Asia and Pacific","percent_change_in_mmr",29.8881895502137,40.2309041474542,47.5890146435335
"3","2000, 2015","Eastern and Southern Africa","arr",3.16414625424675,4.02358027431204,4.73395189149969
"4","2000, 2015","Eastern and Southern Africa","percent_change_in_mmr",37.7879751114681,45.3126103594492,50.84014159408
"5","2000, 2015","Eastern Europe and Central Asia","arr",5.42068348042075,6.04711233724564,6.68032034030967
"6","2000, 2015","Eastern Europe and Central Asia","percent_change_in_mmr",55.6519976791639,59.6293378379654,63.2873223556316
"7","2000, 2015","Latin America and Caribbean","arr",0.757017238897513,1.20778707045902,1.56376357612554
"8","2000, 2015","Latin America and Caribbean","percent_change_in_mmr",10.7342745948463,16.5704865132082,20.9084810269861
"9","2000, 2015","Middle East and North Africa","arr",2.96266010560939,3.9714999777776,4.95563795789875
"10","2000, 2015","Middle East and North Africa","percent_change_in_mmr",35.8790482900275,44.8837165849134,52.4479694055471
"11","2000, 2015","North America","arr",-3.01804370071529,-2.48347451678047,-1.95468217004329
"12","2000, 2015","North America","percent_change_in_mmr",-57.2562659984766,-45.1389215927718,-34.0714024109216
"13","2000, 2015","South Asia","arr",4.99960499297622,5.90627722770464,6.80213196353534
"14","2000, 2015","South Asia","percent_change_in_mmr",52.7605458088403,58.7674248405459,63.9520357660076
"15","2000, 2015","West and Central Africa","arr",-0.493425731370354,1.11138822808899,2.06183384219768
"16","2000, 2015","West and Central Africa","percent_change_in_mmr",-7.68217335137781,15.3553459670833,26.6021156626468
"17","2000, 2015","Western Europe","arr",2.12415759842904,2.46169681763348,2.79241424179754
"18","2000, 2015","Western Europe","percent_change_in_mmr",27.2850832009144,30.8750550555644,34.2205124927028
"19","2000, 2020","East Asia and Pacific","arr",1.38318295126109,2.46827553265574,3.28138504492518
"20","2000, 2020","East Asia and Pacific","percent_change_in_mmr",24.1669967021323,38.9608733116567,48.1220846167622
"21","2000, 2020","Eastern and Southern Africa","arr",3.14350231906744,3.95859787617218,4.62284436089947
"22","2000, 2020","Eastern and Southern Africa","percent_change_in_mmr",46.6715621858149,54.6934954304537,60.3297587402786
"23","2000, 2020","Eastern Europe and Central Asia","arr",3.37439310591824,4.10536299646324,4.84028270418947
"24","2000, 2020","Eastern Europe and Central Asia","percent_change_in_mmr",49.0781770559968,56.0040498756987,62.0179513093201
"25","2000, 2020","Latin America and Caribbean","arr",-0.450554661821174,0.15331755749098,0.656197846294838
"26","2000, 2020","Latin America and Caribbean","percent_change_in_mmr",-9.4295670053348,3.01981544687898,12.2992354285772
"27","2000, 2020","Middle East and North Africa","arr",2.15137338841794,3.2030502843965,4.22580233054415
"28","2000, 2020","Middle East and North Africa","percent_change_in_mmr",34.9669550407336,47.302915476946,57.0511564641609
"29","2000, 2020","North America","arr",-3.98376527163382,-2.7504136608402,-1.51153638253383
"30","2000, 2020","North America","percent_change_in_mmr",-121.832647382573,-73.3396420621232,-35.2976901420056
"31","2000, 2020","South Asia","arr",4.64969055348444,5.52318412865486,6.39118226058257
"32","2000, 2020","South Asia","percent_change_in_mmr",60.5421870083076,66.8668807447004,72.1471934760559
"33","2000, 2020","West and Central Africa","arr",-0.487175593182784,1.11334855467405,2.00767487857782
"34","2000, 2020","West and Central Africa","percent_change_in_mmr",-10.233995862771,19.9620837723049,33.0708089518751
"35","2000, 2020","Western Europe","arr",1.30134671904932,1.7695124616348,2.21072518562018
"36","2000, 2020","Western Europe","percent_change_in_mmr",22.9156063992178,29.8056590949922,35.7343579476486
"37","2010, 2020","East Asia and Pacific","arr",-0.313978498827777,1.20066060284627,2.44953028550042
"38","2010, 2020","East Asia and Pacific","percent_change_in_mmr",-3.18959621698576,11.3138151152828,21.7258696036261
"39","2010, 2020","Eastern and Southern Africa","arr",3.21743685826752,4.33932007556669,5.32892336407695
"40","2010, 2020","Eastern and Southern Africa","percent_change_in_mmr",27.511603541093,35.2043688424258,41.309501422526
"41","2010, 2020","Eastern Europe and Central Asia","arr",0.441251392072837,1.89382177071717,3.18494140223171
"42","2010, 2020","Eastern Europe and Central Asia","percent_change_in_mmr",4.31657872738934,17.2529793863688,27.275666042311
"43","2010, 2020","Latin America and Caribbean","arr",-2.14403558132879,-1.04919688348435,-0.0560599499245238
"44","2010, 2020","Latin America and Caribbean","percent_change_in_mmr",-23.9122612471284,-11.0621411510784,-0.562173798832067
"45","2010, 2020","Middle East and North Africa","arr",0.275340949872336,1.99509911074205,3.44833201089227
"46","2010, 2020","Middle East and North Africa","percent_change_in_mmr",2.71584847750075,18.086789765461,29.1661504184856
"47","2010, 2020","North America","arr",-6.199257029093,-3.74091388936028,-1.23762205771385
"48","2010, 2020","North America","percent_change_in_mmr",-85.8789934506263,-45.3669993904032,-13.1746717315037
"49","2010, 2020","South Asia","arr",3.38313774453749,4.81499513631507,6.13624351267746
"50","2010, 2020","South Asia","percent_change_in_mmr",28.7028457657686,38.2143786901968,45.8614860564991
"51","2010, 2020","West and Central Africa","arr",-1.13676477673358,1.16221903415787,2.50389975267403
"52","2010, 2020","West and Central Africa","percent_change_in_mmr",-12.0389595811856,10.9722340440276,22.1502869115005
"53","2010, 2020","Western Europe","arr",0.0984335096458887,0.973326083056997,1.80123919095594
"54","2010, 2020","Western Europe","percent_change_in_mmr",0.979506374850179,9.27458043365853,16.483328775935
"55","2000, 2005","East Asia and Pacific","arr",1.51586772921676,2.78290717157131,3.89512565265388
"56","2000, 2005","East Asia and Pacific","percent_change_in_mmr",7.29922693946438,12.9898457450483,17.6964778279052
"57","2000, 2005","Eastern and Southern Africa","arr",2.11257878567566,3.46863530383911,4.51695750034371
"58","2000, 2005","Eastern and Southern Africa","percent_change_in_mmr",10.0241548236312,15.9225480545914,20.216053618322
"59","2000, 2005","Eastern Europe and Central Asia","arr",4.87545752278135,6.19493278898077,7.59448218257018
"60","2000, 2005","Eastern Europe and Central Asia","percent_change_in_mmr",21.6334396743975,26.636719313386,31.5949892584951
"61","2000, 2005","Latin America and Caribbean","arr",0.628400427800181,1.26395462884669,1.81547479017352
"62","2000, 2005","Latin America and Caribbean","percent_change_in_mmr",3.09315418878263,6.12421665924399,8.67756856240962
"63","2000, 2005","Middle East and North Africa","arr",3.02675133642026,4.34984821769291,5.67576730266031
"64","2000, 2005","Middle East and North Africa","percent_change_in_mmr",14.0442507988412,19.5466289400419,24.7074026761477
"65","2000, 2005","North America","arr",-3.30696113742321,-2.42444536259243,-1.54102376464591
"66","2000, 2005","North America","percent_change_in_mmr",-17.9803686062334,-12.8875797598124,-8.00973637279319
"67","2000, 2005","South Asia","arr",3.61153739206553,5.1149514364446,6.59417582030859
"68","2000, 2005","South Asia","percent_change_in_mmr",16.5211491464227,22.5662589217951,28.0866871312601
"69","2000, 2005","West and Central Africa","arr",-0.0399849589615329,1.76968896404726,3.08683454057668
"70","2000, 2005","West and Central Africa","percent_change_in_mmr",-0.200124782493297,8.46826535595199,14.3020881611982
"71","2000, 2005","Western Europe","arr",1.95936435072149,2.62526599905129,3.29232212890979
"72","2000, 2005","Western Europe","percent_change_in_mmr",9.33222801025051,12.3013166581315,15.178073159882
"73","2005, 2010","East Asia and Pacific","arr",3.1685969510106,4.68903968839933,5.9446019633632
"74","2005, 2010","East Asia and Pacific","percent_change_in_mmr",14.6517164327633,20.8995785193589,25.7126941009036
"75","2005, 2010","Eastern and Southern Africa","arr",2.41355445250319,3.75901080406122,4.83230263101097
"76","2005, 2010","Eastern and Southern Africa","percent_change_in_mmr",11.3680441758696,17.1344308359538,21.4641620933983
"77","2005, 2010","Eastern Europe and Central Asia","arr",5.24040107545798,6.47461941340214,7.76226966806111
"78","2005, 2010","Eastern Europe and Central Asia","percent_change_in_mmr",23.0504396404539,27.6555155873039,32.1664640908685
"79","2005, 2010","Latin America and Caribbean","arr",0.524844405208917,1.4827688731037,2.19288215381547
"80","2005, 2010","Latin America and Caribbean","percent_change_in_mmr",2.59008852507305,7.14568659540413,10.3846987484726
