"","period","group","parameter","0.1","0.5","0.9"
"1","2000, 2015",1636,"arr",2.52841948370739,3.52392488014289,4.33848581151217
"2","2000, 2015",1636,"percent_change_in_mmr",31.5634346118312,41.0563759007399,47.8357541783125
"3","2000, 2020",1636,"arr",2.50568980745725,3.42504266468415,4.16007671131211
"4","2000, 2020",1636,"percent_change_in_mmr",39.4159155085044,49.5914071534952,56.4828617290094
"5","2010, 2020",1636,"arr",2.41515561146843,3.66307302953865,4.74644329478485
"6","2010, 2020",1636,"percent_change_in_mmr",21.4563417410025,30.671028122399,37.7893716922553
"7","2000, 2005",1636,"arr",1.44545049279148,2.9568049300871,4.11464546673154
"8","2000, 2005",1636,"percent_change_in_mmr",6.97226522442318,13.7431094786792,18.5949009710538
"9","2005, 2010",1636,"arr",2.01537771756913,3.52543014930238,4.70803251929933
"10","2005, 2010",1636,"percent_change_in_mmr",9.58580281076452,16.1609676157939,20.9746599710432
"11","2010, 2015",1636,"arr",2.63724931156695,4.16585208041442,5.47760717017403
"12","2010, 2015",1636,"percent_change_in_mmr",12.3538469238581,18.8030583555217,23.9576951703163
"13","2015, 2020",1636,"arr",1.55653504342558,3.16163190941597,4.49708356333934
"14","2015, 2020",1636,"percent_change_in_mmr",7.48753113568336,14.6219885237413,20.1367328579067
"15","2016, 2020",1636,"arr",1.36665130619263,3.04396157847711,4.39663120022828
"16","2016, 2020",1636,"percent_change_in_mmr",5.31987224514747,11.4637809709643,16.1269002893665
