"","period","group","parameter","0.1","0.5","0.9"
"1","2000, 2015",941,"arr",2.52298581110401,3.26851192837187,3.87095846982549
"2","2000, 2015",941,"percent_change_in_mmr",31.5076325720167,38.7543150570867,44.0461963256322
"3","2000, 2020",941,"arr",2.45838429981117,3.21365010656707,3.80453043077974
"4","2000, 2020",941,"percent_change_in_mmr",38.8400032671079,47.4145132213385,53.2757127070971
"5","2010, 2020",941,"arr",2.18226427641091,3.3091854973995,4.13336796217001
"6","2010, 2020",941,"percent_change_in_mmr",19.6056600700831,28.173633009596,33.8560524436169
"7","2000, 2005",941,"arr",2.30276900942407,3.22238270877274,4.02360989056713
"8","2000, 2005",941,"percent_change_in_mmr",10.8757256039133,14.8809341899993,18.2235183815997
"9","2005, 2010",941,"arr",2.02561368483716,3.08691172857774,3.94899828328209
"10","2005, 2010",941,"percent_change_in_mmr",9.63206511897887,14.3024189303587,17.9178748877249
"11","2010, 2015",941,"arr",2.31087398269479,3.54939988695791,4.51489375402662
"12","2010, 2015",941,"percent_change_in_mmr",10.9118358903399,16.2613874676489,20.2078205048714
"13","2015, 2020",941,"arr",1.72025396865329,3.06615005218574,4.13391679943296
"14","2015, 2020",941,"percent_change_in_mmr",8.24174206507829,14.2134114098804,18.6733024068938
"15","2016, 2020",941,"arr",1.40379746965959,2.81252190375077,3.94314340340241
"16","2016, 2020",941,"percent_change_in_mmr",5.46044794489523,10.6403435574891,14.5916005424723
