"","period","group","parameter","0.1","0.5","0.9"
"1","2000, 2015",902,"arr",1.99882260328805,2.72509574633656,3.26020595451405
"2","2000, 2015",902,"percent_change_in_mmr",25.9050930496807,33.552921150715,38.6779617622557
"3","2000, 2020",902,"arr",1.36529373124377,2.14760930529045,2.68691417916971
"4","2000, 2020",902,"percent_change_in_mmr",23.8951919324246,34.9179795925028,41.572459713922
"5","2010, 2020",902,"arr",0.16693155393762,1.43094344440127,2.20450929379603
"6","2010, 2020",902,"percent_change_in_mmr",1.65545951923414,13.3327700668356,19.7842999734637
"7","2000, 2005",902,"arr",1.88627895228502,2.66079035887824,3.45201957080297
"8","2000, 2005",902,"percent_change_in_mmr",9.00029736851408,12.4569503602645,15.8526686223985
"9","2005, 2010",902,"arr",2.17197693996123,3.10749697366039,3.93775965932594
"10","2005, 2010",902,"percent_change_in_mmr",10.2909784213547,14.390578841978,17.8717374193101
"11","2010, 2015",902,"arr",1.06037535703439,2.40558695198245,3.2889762345225
"12","2010, 2015",902,"percent_change_in_mmr",5.16377858775746,11.3327287474398,15.1638818020311
"13","2015, 2020",902,"arr",-1.11155301720551,0.436062133628836,1.48152031549606
"14","2015, 2020",902,"percent_change_in_mmr",-5.71511028284579,2.15671368355927,7.13988964770849
"15","2016, 2020",902,"arr",-1.47271726989373,0.120891403420162,1.25441025367588
"16","2016, 2020",902,"percent_change_in_mmr",-6.06783875539047,0.482398272463992,4.89383668176399
