"","period","group","parameter","0.1","0.5","0.9"
"1","2000, 2015",901,"arr",2.39341508346479,2.85587727982541,3.33375871587241
"2","2000, 2015",901,"percent_change_in_mmr",30.1634212356926,34.8437263715581,39.3508038632783
"3","2000, 2020",901,"arr",0.670190733834337,1.43259396426557,2.19443988783295
"4","2000, 2020",901,"percent_change_in_mmr",12.5443297090944,24.9127029087278,35.524699734244
"5","2010, 2020",901,"arr",-2.35938664296195,-0.88948461605046,0.654676492047399
"6","2010, 2020",901,"percent_change_in_mmr",-26.6096677728967,-9.3024325384894,6.3370652833011
"7","2000, 2005",901,"arr",2.70391305086096,3.70272929095523,4.76712653993941
"8","2000, 2005",901,"percent_change_in_mmr",12.6455016236752,16.9009124065882,21.2078116650344
"9","2005, 2010",901,"arr",2.87193264998373,3.74398685566676,4.67700511573828
"10","2005, 2010",901,"percent_change_in_mmr",13.3762910510927,17.0721590749973,20.8519673301785
"11","2010, 2015",901,"arr",0.0235882986434694,1.09097751980681,2.15253979268737
"12","2010, 2015",901,"percent_change_in_mmr",0.117871969531815,5.30877734647821,10.2037516574949
"13","2015, 2020",901,"arr",-5.56913263006103,-2.80106454474387,-0.115400372325221
"14","2015, 2020",901,"percent_change_in_mmr",-32.1089310680719,-15.0335026408663,-0.578669723752993
"15","2016, 2020",901,"arr",-6.77265418995885,-3.46567241163519,-0.365283589777331
"16","2016, 2020",901,"percent_change_in_mmr",-31.1152036070684,-14.8695438199355,-1.47186114188999
