"","period","group","parameter","0.1","0.5","0.9"
"1","2000, 2015","Africa","arr",1.17725894572248,2.19629259293012,2.88355331548783
"2","2000, 2015","Africa","percent_change_in_mmr",16.1875684462944,28.0676353863212,35.1136557738252
"3","2000, 2015","Asia","arr",4.76362575045664,5.5263936340615,6.24651008456025
"4","2000, 2015","Asia","percent_change_in_mmr",51.0584698438165,56.349656971056,60.8189318474872
"5","2000, 2015","Europe","arr",5.7046566289765,6.35110719228225,6.98836289449672
"6","2000, 2015","Europe","percent_change_in_mmr",57.5013763010228,61.4288685352607,64.9450878009036
"7","2000, 2015","Latin America and the Caribbean","arr",0.744786938223785,1.19522008390657,1.55161189180697
"8","2000, 2015","Latin America and the Caribbean","percent_change_in_mmr",10.570362285469,16.4130695478155,20.7641853012555
"9","2000, 2015","Northern America","arr",-3.01804370071529,-2.48347451678047,-1.95468217004329
"10","2000, 2015","Northern America","percent_change_in_mmr",-57.2562659984766,-45.1389215927718,-34.0714024109216
"11","2000, 2015","Oceania","arr",0.0995246275121816,2.21421414575149,3.90325187726941
"12","2000, 2015","Oceania","percent_change_in_mmr",1.4817811136768,28.260746605327,44.3165816552059
"13","2000, 2020","Africa","arr",0.975975364824938,2.04444961691163,2.70406432353654
"14","2000, 2020","Africa","percent_change_in_mmr",17.7325837955641,33.5612638082699,41.7725248329185
"15","2000, 2020","Asia","arr",4.01474177958039,4.72670786892093,5.42362570891077
"16","2000, 2020","Asia","percent_change_in_mmr",55.1993866060939,61.1453169175994,66.2005325914156
"17","2000, 2020","Europe","arr",3.52138576990168,4.37189180670384,5.09398791413096
"18","2000, 2020","Europe","percent_change_in_mmr",50.5534129917553,58.2878761280197,63.8971212003853
"19","2000, 2020","Latin America and the Caribbean","arr",-0.461335225130542,0.140576688113804,0.643942665078698
"20","2000, 2020","Latin America and the Caribbean","percent_change_in_mmr",-9.66576416944032,2.77237789414242,12.0840138894814
"21","2000, 2020","Northern America","arr",-3.98376527163382,-2.7504136608402,-1.51153638253383
"22","2000, 2020","Northern America","percent_change_in_mmr",-121.832647382573,-73.3396420621232,-35.2976901420056
"23","2000, 2020","Oceania","arr",-0.0260211729519275,1.9475820077703,3.52515572138746
"24","2000, 2020","Oceania","percent_change_in_mmr",-0.52178173111798,32.2615622655095,50.5906814147428
"25","2010, 2020","Africa","arr",0.376277303820808,2.04641971250934,3.02439336441579
"26","2010, 2020","Africa","percent_change_in_mmr",3.69286035571023,18.5060964155713,26.0986672617745
"27","2010, 2020","Asia","arr",2.44327165828016,3.54344759412122,4.56686464174293
"28","2010, 2020","Asia","percent_change_in_mmr",21.6768654185753,29.8366968890053,36.6621103746846
"29","2010, 2020","Europe","arr",0.435069957647755,2.07993671699131,3.45662046928842
"30","2010, 2020","Europe","percent_change_in_mmr",4.25741297639258,18.7787823065953,29.2248366136126
"31","2010, 2020","Latin America and the Caribbean","arr",-2.15496499753995,-1.06180010866782,-0.0695549119665263
"32","2010, 2020","Latin America and the Caribbean","percent_change_in_mmr",-24.0477641249856,-11.2022041141209,-0.697973687225143
"33","2010, 2020","Northern America","arr",-6.199257029093,-3.74091388936028,-1.23762205771385
"34","2010, 2020","Northern America","percent_change_in_mmr",-85.8789934506263,-45.3669993904032,-13.1746717315037
"35","2010, 2020","Oceania","arr",0.635042726711192,3.19118922856998,5.6323387325269
"36","2010, 2020","Oceania","percent_change_in_mmr",6.1529877950913,27.3210887602582,43.0635169494075
"37","2000, 2005","Africa","arr",1.30414772657448,2.37972708026077,3.31604426702316
"38","2000, 2005","Africa","percent_change_in_mmr",6.31268514446473,11.2180084132814,15.2786214740869
"39","2000, 2005","Asia","arr",3.48369822887369,4.67102113130081,5.85970516554877
"40","2000, 2005","Asia","percent_change_in_mmr",15.9858462093796,20.8282827532999,25.3966861488473
"41","2000, 2005","Europe","arr",5.01782604626452,6.50930818838378,8.05903141865874
"42","2000, 2005","Europe","percent_change_in_mmr",22.1893054371297,27.780883915248,33.1655533492342
"43","2000, 2005","Latin America and the Caribbean","arr",0.621628960159289,1.25467484903712,1.80531777122894
"44","2000, 2005","Latin America and the Caribbean","percent_change_in_mmr",3.06033851568027,6.08064922149805,8.63117861226977
"45","2000, 2005","Northern America","arr",-3.30696113742321,-2.42444536259243,-1.54102376464591
"46","2000, 2005","Northern America","percent_change_in_mmr",-17.9803686062334,-12.8875797598124,-8.00973637279319
"47","2000, 2005","Oceania","arr",-3.72391660610529,-0.610681385390194,1.7754820062619
"48","2000, 2005","Oceania","percent_change_in_mmr",-20.465815091225,-3.1005015170106,8.4947739210172
"49","2005, 2010","Africa","arr",0.401327304990407,1.78388606799486,2.77204229988246
"50","2005, 2010","Africa","percent_change_in_mmr",1.98663727747524,8.53321667127875,12.9425651735022
"51","2005, 2010","Asia","arr",5.90924181528198,7.14492573159571,8.36187183504688
"52","2005, 2010","Asia","percent_change_in_mmr",25.5812373761568,30.0399825071698,34.169938592166
"53","2005, 2010","Europe","arr",5.3975154732758,6.78285355697051,8.22517101773001
"54","2005, 2010","Europe","percent_change_in_mmr",23.6525662763627,28.7619199106103,33.7184461952212
"55","2005, 2010","Latin America and the Caribbean","arr",0.510857264595012,1.46753511258648,2.1768758962396
"56","2005, 2010","Latin America and the Caribbean","percent_change_in_mmr",2.52194038715156,7.07493363169455,10.3129497585762
"57","2005, 2010","Northern America","arr",-1.97218676114602,-1.10493364399189,-0.260816625277579
"58","2005, 2010","Northern America","percent_change_in_mmr",-10.3635067253375,-5.68012765878384,-1.31262337934235
"59","2005, 2010","Oceania","arr",-1.04775445060228,2.10892053135505,4.568295441062
"60","2005, 2010","Oceania","percent_change_in_mmr",-5.3784239208569,10.0076956395948,20.420586904583
"61","2010, 2015","Africa","arr",0.724388173892952,2.47244980560001,3.61192993044478
"62","2010, 2015","Africa","percent_change_in_mmr",3.55713335410799,11.6286611437922,16.5227875652876
"63","2010, 2015","Asia","arr",3.45242599946965,4.70154256695645,5.93182591756203
"64","2010, 2015","Asia","percent_change_in_mmr",15.854378599097,20.9490123420153,25.6652240180464
"65","2010, 2015","Europe","arr",4.37994318852309,5.70748743494459,7.08245576328759
"66","2010, 2015","Europe","percent_change_in_mmr",19.6675999770629,24.8267225227284,29.8211208884355
"67","2010, 2015","Latin America and the Caribbean","arr",0.0756308721192488,0.867756091995889,1.69379389081492
"68","2010, 2015","Latin America and the Caribbean","percent_change_in_mmr",0.377440251316873,4.24600203234735,8.12026519821992
"69","2010, 2015","Northern America","arr",-5.52336830850858,-3.95105223086694,-2.25221946531625
