"","period","group","parameter","0.1","0.5","0.9"
"1","2000, 2015",1637,"arr",0.104472323636661,1.35031630408164,2.39223216431689
"2","2000, 2015",1637,"percent_change_in_mmr",1.55486789479156,18.3352262129553,30.1510282926781
"3","2000, 2020",1637,"arr",-0.19295147115707,1.07386753957596,2.02779960254561
"4","2000, 2020",1637,"percent_change_in_mmr",-3.93445712795404,19.3275860303742,33.3396535300646
"5","2010, 2020",1637,"arr",-0.821199152726682,1.03111476151166,2.76756609252597
"6","2010, 2020",1637,"percent_change_in_mmr",-8.55859805762497,9.79735858927081,24.1760976959607
"7","2000, 2005",1637,"arr",-0.469477019535025,1.33574825460748,2.70229254262751
"8","2000, 2005",1637,"percent_change_in_mmr",-2.37515314319351,6.46059667665029,12.6384234113826
"9","2005, 2010",1637,"arr",-1.50316190928068,0.983400770029132,2.82627961146077
"10","2005, 2010",1637,"percent_change_in_mmr",-7.80545733744232,4.79807639825163,13.1783333794783
"11","2010, 2015",1637,"arr",-0.214599513235715,1.84881287866242,3.96581452363972
"12","2010, 2015",1637,"percent_change_in_mmr",-1.07877486296736,8.82966755107811,17.9868611573463
"13","2015, 2020",1637,"arr",-2.19530710512872,0.197926021229937,2.2117542290036
"14","2015, 2020",1637,"percent_change_in_mmr",-11.6016172657427,0.984749218704843,10.4692201143723
"15","2016, 2020",1637,"arr",-2.14523287285098,0.311325561604083,2.4109404962054
"16","2016, 2020",1637,"percent_change_in_mmr",-8.95985418261663,1.23758043974834,9.19334583861139
