"","period","group","parameter","0.1","0.5","0.9"
"1","2000, 2015","Australia/New Zealand","arr",0.643450967647578,1.71756761336283,2.65106448569847
"2","2000, 2015","Australia/New Zealand","percent_change_in_mmr",9.20061128317421,22.7122828885416,32.8109345772507
"3","2000, 2015","Caribbean","arr",-2.4012547943516,-0.354450388502854,0.998091942660594
"4","2000, 2015","Caribbean","percent_change_in_mmr",-43.3599373303253,-5.46063435654686,13.9045642278924
"5","2000, 2015","Central America","arr",0.865015288129183,1.29403614743774,1.98457294402363
"6","2000, 2015","Central America","percent_change_in_mmr",12.1687031891449,17.6428922795325,25.7465497653734
"7","2000, 2015","Central Asia","arr",3.70140119140582,4.66663994596614,5.59915303189544
"8","2000, 2015","Central Asia","percent_change_in_mmr",42.6048383888503,50.3412705801129,56.823462631746
"9","2000, 2015","Eastern Africa","arr",2.82631248349701,3.79361259336891,4.60826593958844
"10","2000, 2015","Eastern Africa","percent_change_in_mmr",34.5541345977748,43.3932464110256,49.9045440946708
"11","2000, 2015","Eastern Asia","arr",4.27612064994856,5.10518122530194,6.28160493219323
"12","2000, 2015","Eastern Asia","percent_change_in_mmr",47.3454797947118,53.5027578458074,61.0246479579769
"13","2000, 2015","Eastern Europe","arr",8.32246713200381,9.31542258042019,10.2987807992219
"14","2000, 2015","Eastern Europe","percent_change_in_mmr",71.3027839210463,75.2739634707296,78.664911227834
"15","2000, 2015","Melanesia","arr",0.355369164568647,2.57103221244929,4.33721531694044
"16","2000, 2015","Melanesia","percent_change_in_mmr",5.19095399423331,31.9994797325107,47.8258119299708
"17","2000, 2015","Micronesia","arr",-3.51263911871661,-1.08909956846926,1.49254931972255
"18","2000, 2015","Micronesia","percent_change_in_mmr",-69.3667413813577,-17.7466314371401,20.0590856860572
"19","2000, 2015","Middle Africa","arr",0.405540082748612,2.28973730658764,3.43360465535777
"20","2000, 2015","Middle Africa","percent_change_in_mmr",5.90177540228347,29.0688569350713,40.2523720000321
"21","2000, 2015","Northern Africa","arr",3.55315119501423,5.28254005940114,7.0398656151201
"22","2000, 2015","Northern Africa","percent_change_in_mmr",41.314216592876,54.7234525848693,65.2148579105201
"23","2000, 2015","Northern America","arr",-3.01804370071529,-2.48347451678047,-1.95468217004329
"24","2000, 2015","Northern America","percent_change_in_mmr",-57.2562659984766,-45.1389215927718,-34.0714024109216
"25","2000, 2015","Northern Europe","arr",1.7156300373724,2.19172123323214,2.65879161691864
"26","2000, 2015","Northern Europe","percent_change_in_mmr",22.6898165227875,28.0182941494553,32.8887665549902
"27","2000, 2015","Polynesia","arr",-1.414511904623,1.13366225918011,3.06217731143369
"28","2000, 2015","Polynesia","percent_change_in_mmr",-23.6366452484202,15.6376804961176,36.8291102678254
