"","period","group","parameter","0.1","0.5","0.9"
"1","2000, 2015","High income","arr",0.573210974194129,0.902757845859234,1.25483775769476
"2","2000, 2015","High income","percent_change_in_mmr",8.23889271484897,12.6645449346208,17.1572259893006
"3","2000, 2015","Lower middle income","arr",2.06110798016576,3.07531928655417,3.82053701043113
"4","2000, 2015","Lower middle income","percent_change_in_mmr",26.5941128491245,36.9535158730858,43.6214010876658
"5","2000, 2015","Low income","arr",2.17511611559991,3.06623924271499,3.76992300693747
"6","2000, 2015","Low income","percent_change_in_mmr",27.8387809184613,36.8675877883044,43.1917401303658
"7","2000, 2015","Upper middle income","arr",2.79544198183935,3.20295233701679,3.72136767917483
"8","2000, 2015","Upper middle income","percent_change_in_mmr",34.2503800758765,38.1490576089267,42.776478199177
"9","2000, 2020","High income","arr",-0.567973348086318,0.156464445553122,0.838763229923096
"10","2000, 2020","High income","percent_change_in_mmr",-12.029794220486,3.0808333950476,15.4437036493503
"11","2000, 2020","Lower middle income","arr",1.4577030989158,2.64074173738779,3.33492263411875
"12","2000, 2020","Lower middle income","percent_change_in_mmr",25.288833371614,41.0304108561056,48.6746044688755
"13","2000, 2020","Low income","arr",2.05927763843235,2.95829939469837,3.62190475557998
"14","2000, 2020","Low income","percent_change_in_mmr",33.7580018294297,44.6592068105155,51.5375517456707
"15","2000, 2020","Upper middle income","arr",1.66407539649614,2.13324364241764,2.6136280592579
"16","2000, 2020","Upper middle income","percent_change_in_mmr",28.3097247938448,34.730721563418,40.709767795109
"17","2010, 2020","High income","arr",-2.78346649428309,-1.33081085528883,0.0075838637805219
"18","2010, 2020","High income","percent_change_in_mmr",-32.0944023132901,-14.2342623615669,0.075809637976627
"19","2010, 2020","Lower middle income","arr",0.0029757133304033,1.96094730227606,3.03789491546921
"20","2010, 2020","Lower middle income","percent_change_in_mmr",0.0297505487795462,17.8065631039693,26.1983791211373
"21","2010, 2020","Low income","arr",1.47598195791275,2.77366503122157,3.77506883477829
"22","2010, 2020","Low income","percent_change_in_mmr",13.7222286602792,24.2223281311764,31.4431517215438
"23","2010, 2020","Upper middle income","arr",0.445173207117638,1.24090646263541,2.02356965070046
"24","2010, 2020","Upper middle income","percent_change_in_mmr",4.35409665998627,11.670022975321,18.3196693325449
"25","2000, 2005","High income","arr",1.15942948428265,1.66148856492564,2.19688637989314
"26","2000, 2005","High income","percent_change_in_mmr",5.6323133822883,7.97173503128076,10.4026389483851
"27","2000, 2005","Lower middle income","arr",2.30915939820934,3.3852031606247,4.46923405497147
"28","2000, 2005","Lower middle income","percent_change_in_mmr",10.9041981502315,15.5710773810947,20.0254480659644
"29","2000, 2005","Low income","arr",1.76636204068353,2.97311066664791,3.91798298298073
"30","2000, 2005","Low income","percent_change_in_mmr",8.45303823467176,13.8134051824507,17.7904860470225
"31","2000, 2005","Upper middle income","arr",1.59312651402498,2.3002031104489,3.15215858006334
"32","2000, 2005","Upper middle income","percent_change_in_mmr",7.65663477251378,10.864290833093,14.5815382577919
"33","2005, 2010","High income","arr",1.10651137236392,1.63121807555519,2.13280375238941
"34","2005, 2010","High income","percent_change_in_mmr",5.3822947732776,7.83234250967172,10.115096817482
"35","2005, 2010","Lower middle income","arr",1.86591804082578,3.27582211263166,4.41990129076653
"36","2005, 2010","Lower middle income","percent_change_in_mmr",8.90760767435773,15.1080658629989,19.8279362819349
"37","2005, 2010","Low income","arr",2.12618849621323,3.35984904736739,4.40274280115191
"38","2005, 2010","Low income","percent_change_in_mmr",10.0853609600442,15.4639784871525,19.7591251903907
"39","2005, 2010","Upper middle income","arr",3.04859970097705,3.69264376216318,4.54126275538703
"40","2005, 2010","Upper middle income","percent_change_in_mmr",14.1380989634884,16.858996987215,20.3129531896852
"41","2010, 2015","High income","arr",-1.45492532317011,-0.577072064693155,0.342952019842616
"42","2010, 2015","High income","percent_change_in_mmr",-7.54576223009504,-2.92739010785566,1.70014175598346
"43","2010, 2015","Lower middle income","arr",0.622790664283123,2.63977538795366,3.82912966546748
"44","2010, 2015","Lower middle income","percent_change_in_mmr",3.06596911717606,12.3649163024714,17.4244441488161
"45","2010, 2015","Low income","arr",1.46575485764789,2.92736015546494,4.05826760415215
"46","2010, 2015","Low income","percent_change_in_mmr",7.06666170491238,13.6160255020822,18.3651049648005
"47","2010, 2015","Upper middle income","arr",2.84375311335683,3.57471730316008,4.42259481097468
"48","2010, 2015","Upper middle income","percent_change_in_mmr",13.2541542120399,16.3673226557461,19.8387327498498
"49","2015, 2020","High income","arr",-4.79212443294173,-2.10861449229354,0.32980307918899
"50","2015, 2020","High income","percent_change_in_mmr",-27.0748665577192,-11.1189123873274,1.63549349736822
"51","2015, 2020","Lower middle income","arr",-1.02988852565011,1.26484797739977,2.72418345412651
"52","2015, 2020","Lower middle income","percent_change_in_mmr",-5.28433192469583,6.128409756471,12.7339921162034
"53","2015, 2020","Low income","arr",1.14883427964844,2.64307084909564,3.892673713378
"54","2015, 2020","Low income","percent_change_in_mmr",5.5823078261336,12.37935501376,17.6863870586173
"55","2015, 2020","Upper middle income","arr",-2.46628308860302,-1.13296098431794,0.0714443354059378
"56","2015, 2020","Upper middle income","percent_change_in_mmr",-13.1239749754335,-5.82832813234143,0.356584397792492
"57","2016, 2020","High income","arr",-5.01102233682442,-1.8468125510921,0.953842195979438
"58","2016, 2020","High income","percent_change_in_mmr",-22.1941386167996,-7.66695235885495,3.74350013737151
"59","2016, 2020","Lower middle income","arr",-0.864050260107612,1.53814712123745,3.10013205238592
"60","2016, 2020","Lower middle income","percent_change_in_mmr",-3.51662175311392,5.96713945958628,11.6624824414309
"61","2016, 2020","Low income","arr",0.81934061222083,2.42198053990281,3.73149982251828
"62","2016, 2020","Low income","percent_change_in_mmr",3.22423885497921,9.23343740790773,13.8654857823369
"63","2016, 2020","Upper middle income","arr",-5.13180237995852,-3.59544277619695,-2.19375582472592
"64","2016, 2020","Upper middle income","percent_change_in_mmr",-22.785911418374,-15.4673605598637,-9.17154137835291
