"","period","group","parameter","0.1","0.5","0.9"
"1","2000, 2015","Australia and New Zealand (M49)","arr",0.643450967647578,1.71756761336283,2.65106448569847
"2","2000, 2015","Australia and New Zealand (M49)","percent_change_in_mmr",9.20061128317421,22.7122828885416,32.8109345772507
"3","2000, 2015","Central Asia (M49) and Southern Asia (MDG=M49)","arr",5.17654099719488,6.07854889498259,6.95855554551188
"4","2000, 2015","Central Asia (M49) and Southern Asia (MDG=M49)","percent_change_in_mmr",53.9978084998354,59.8192569675946,64.7880027087944
"5","2000, 2015","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","arr",2.3643096397621,3.46682646901557,4.35404441697144
"6","2000, 2015","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","percent_change_in_mmr",29.8578610189325,40.5493701419353,47.9573522897671
"7","2000, 2015","Latin America & the Caribbean (MDG=M49)","arr",0.744786938223785,1.19522008390657,1.55161189180697
"8","2000, 2015","Latin America & the Caribbean (MDG=M49)","percent_change_in_mmr",10.570362285469,16.4130695478155,20.7641853012555
"9","2000, 2015","Northern America (M49) and Europe (M49)","arr",2.40383715389608,2.89442984204604,3.39641705917583
"10","2000, 2015","Northern America (M49) and Europe (M49)","percent_change_in_mmr",30.2725119629887,35.2194301959026,39.9181603389336
"11","2000, 2015","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","arr",0.243829793693388,2.42409133548887,4.16515572575348
"12","2000, 2015","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","percent_change_in_mmr",3.59135617587087,30.4840315718261,46.4617245394227
"13","2000, 2015","Sub-Saharan Africa (M49)","arr",0.982709599615637,2.05026408479897,2.75409054671982
"14","2000, 2015","Sub-Saharan Africa (M49)","percent_change_in_mmr",13.7056824819027,26.4746256557748,33.8412864839579
"15","2000, 2015","Western Asia (M49) and Northern Africa (M49)","arr",2.8164814676691,4.01603387199138,5.25404481297732
"16","2000, 2015","Western Asia (M49) and Northern Africa (M49)","percent_change_in_mmr",34.4575538240361,45.2506707506864,54.5295136336138
"17","2000, 2020","Australia and New Zealand (M49)","arr",2.67820829715526,3.58825339914001,4.53927548721508
"18","2000, 2020","Australia and New Zealand (M49)","percent_change_in_mmr",41.4706386090775,51.2102862209756,59.6611473618537
"19","2000, 2020","Central Asia (M49) and Southern Asia (MDG=M49)","arr",4.75804882439261,5.62490009951943,6.4814319143091
"20","2000, 2020","Central Asia (M49) and Southern Asia (MDG=M49)","percent_change_in_mmr",61.3881037811364,67.534104480261,72.6454245334455
"21","2000, 2020","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","arr",1.37737297541241,2.49224810743204,3.32883669381969
"22","2000, 2020","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","percent_change_in_mmr",24.0788261339246,39.2528258612487,48.6120940931556
"23","2000, 2020","Latin America & the Caribbean (MDG=M49)","arr",-0.461335225130542,0.140576688113804,0.643942665078698
"24","2000, 2020","Latin America & the Caribbean (MDG=M49)","percent_change_in_mmr",-9.66576416944032,2.77237789414242,12.0840138894814
"25","2000, 2020","Northern America (M49) and Europe (M49)","arr",0.605795524276761,1.39742331810868,2.20177366539015
"26","2000, 2020","Northern America (M49) and Europe (M49)","percent_change_in_mmr",11.4107001496138,24.382667477818,35.6191995105343
"27","2000, 2020","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","arr",0.12445230748475,2.14821518962222,3.77413874724839
"28","2000, 2020","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","percent_change_in_mmr",2.4583248113752,34.9258656002928,52.9908416202364
"29","2000, 2020","Sub-Saharan Africa (M49)","arr",0.900791968332176,2.00796330259257,2.68161482572375
"30","2000, 2020","Sub-Saharan Africa (M49)","percent_change_in_mmr",16.4862078649492,33.0746696526992,41.5105017391798
"31","2000, 2020","Western Asia (M49) and Northern Africa (M49)","arr",1.90845553753795,3.15665157090689,4.31124069772318
"32","2000, 2020","Western Asia (M49) and Northern Africa (M49)","percent_change_in_mmr",31.7294095820323,46.8116242226735,57.778817648243
"33","2000, 2005","Australia and New Zealand (M49)","arr",3.80139857347839,5.8208611349863,8.18904087797342
"34","2000, 2005","Australia and New Zealand (M49)","percent_change_in_mmr",17.3098690103634,25.251650513828,33.5985998383109
"35","2000, 2005","Central Asia (M49) and Southern Asia (MDG=M49)","arr",3.69240076128877,5.18632550541491,6.65815725287242
"36","2000, 2005","Central Asia (M49) and Southern Asia (MDG=M49)","percent_change_in_mmr",16.8579867924031,22.8421046509227,28.3163759428434
"37","2000, 2005","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","arr",1.58221664350416,2.86508807097776,3.99216293864981
"38","2000, 2005","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","percent_change_in_mmr",7.60624831587797,13.3466408302494,18.0948361152256
"39","2000, 2005","Latin America & the Caribbean (MDG=M49)","arr",0.621628960159289,1.25467484903712,1.80531777122894
"40","2000, 2005","Latin America & the Caribbean (MDG=M49)","percent_change_in_mmr",3.06033851568027,6.08064922149805,8.63117861226977
"41","2000, 2005","Northern America (M49) and Europe (M49)","arr",2.72070545484813,3.80647298541683,4.91632695477624
"42","2000, 2005","Northern America (M49) and Europe (M49)","percent_change_in_mmr",12.7188154282394,17.3308466255001,21.7934160051969
"43","2000, 2005","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","arr",-3.45035461767081,-0.215482470058254,2.25576392318207
"44","2000, 2005","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","percent_change_in_mmr",-18.8292898042562,-1.08323734133224,10.6660144090989
"45","2000, 2005","Sub-Saharan Africa (M49)","arr",1.25699756656773,2.37671932159007,3.34227543192071
"46","2000, 2005","Sub-Saharan Africa (M49)","percent_change_in_mmr",6.09155586127071,11.2046556656654,15.3896656171072
"47","2000, 2005","Western Asia (M49) and Northern Africa (M49)","arr",1.99978953028189,3.95273193223642,5.66679199735279
"48","2000, 2005","Western Asia (M49) and Northern Africa (M49)","percent_change_in_mmr",9.51530533703379,17.9331967487756,24.6736063914424
"49","2005, 2010","Australia and New Zealand (M49)","arr",-4.64199945183976,-2.1355569761739,0.0528024083707742
"50","2005, 2010","Australia and New Zealand (M49)","percent_change_in_mmr",-26.1245814422872,-11.2687043402904,0.263662885750439
"51","2005, 2010","Central Asia (M49) and Southern Asia (MDG=M49)","arr",6.06758567549271,7.55043472460476,8.9914448921009
"52","2005, 2010","Central Asia (M49) and Southern Asia (MDG=M49)","percent_change_in_mmr",26.1680989147919,31.4441699652508,36.2099041134852
"53","2005, 2010","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","arr",3.22960611706732,4.76641350410088,6.06900847487446
"54","2005, 2010","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","percent_change_in_mmr",14.9116710845166,21.2050024516981,26.1733511110612
"55","2005, 2010","Latin America & the Caribbean (MDG=M49)","arr",0.510857264595012,1.46753511258648,2.1768758962396
"56","2005, 2010","Latin America & the Caribbean (MDG=M49)","percent_change_in_mmr",2.52194038715156,7.07493363169455,10.3129497585762
"57","2005, 2010","Northern America (M49) and Europe (M49)","arr",2.89184814931558,3.79017923718781,4.76214275403907
"58","2005, 2010","Northern America (M49) and Europe (M49)","percent_change_in_mmr",13.4625058397028,17.2634697510371,21.188174945453
"59","2005, 2010","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","arr",-1.52083306523857,1.71304626962982,4.22780160758297
"60","2005, 2010","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","percent_change_in_mmr",-7.900752991399,8.2086678166495,19.0541743245129
"61","2005, 2010","Sub-Saharan Africa (M49)","arr",0.0850343678011098,1.49250517987646,2.51989764002367
"62","2005, 2010","Sub-Saharan Africa (M49)","percent_change_in_mmr",0.424269227308828,7.19087846218013,11.8380641076901
"63","2005, 2010","Western Asia (M49) and Northern Africa (M49)","arr",2.89267950175259,4.73557615716885,7.23295400616739
"64","2005, 2010","Western Asia (M49) and Northern Africa (M49)","percent_change_in_mmr",13.4661029217972,21.0834170789519,30.347228796334
"65","2010, 2015","Australia and New Zealand (M49)","arr",-1.12241572979416,1.47320724804247,3.62171494462081
"66","2010, 2015","Australia and New Zealand (M49)","percent_change_in_mmr",-5.77254351721279,7.10128407329838,16.5636187730812
"67","2010, 2015","Central Asia (M49) and Southern Asia (MDG=M49)","arr",3.91046682257277,5.50010478036378,7.06230193265746
"68","2010, 2015","Central Asia (M49) and Southern Asia (MDG=M49)","percent_change_in_mmr",17.7595851201277,24.043185613049,29.7503664510934
"69","2010, 2015","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","arr",1.03332923662846,2.80331331863565,4.26615465924787
"70","2010, 2015","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","percent_change_in_mmr",5.03544426517232,13.078576978497,19.2092520787651
"71","2010, 2015","Latin America & the Caribbean (MDG=M49)","arr",0.0756308721192488,0.867756091995889,1.69379389081492
"72","2010, 2015","Latin America & the Caribbean (MDG=M49)","percent_change_in_mmr",0.377440251316873,4.24600203234735,8.12026519821992
"73","2010, 2015","Northern America (M49) and Europe (M49)","arr",-0.0627836536943834,1.04587711431939,2.14644982322078
"74","2010, 2015","Northern America (M49) and Europe (M49)","percent_change_in_mmr",-0.314411546435542,5.09500566206479,10.1764046372193
"75","2010, 2015","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","arr",2.64749773081327,5.85794758483263,8.83103724664265
"76","2010, 2015","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","percent_change_in_mmr",12.398747175875,25.3901297973009,35.6962259669576
"77","2010, 2015","Sub-Saharan Africa (M49)","arr",0.494212872898994,2.28738327855168,3.46871896566987
"78","2010, 2015","Sub-Saharan Africa (M49)","percent_change_in_mmr",2.4407834089326,10.8071372764349,15.9228997724981
"79","2010, 2015","Western Asia (M49) and Northern Africa (M49)","arr",1.40032701052306,3.32167160425452,5.14891338483211
"80","2010, 2015","Western Asia (M49) and Northern Africa (M49)","percent_change_in_mmr",6.76214250646906,15.302455913739,22.6976375493329
"81","2015, 2020","Australia and New Zealand (M49)","arr",6.53402237740585,9.25580062246645,12.5603623476379
"82","2015, 2020","Australia and New Zealand (M49)","percent_change_in_mmr",27.8700702577709,37.0475200406253,46.6351616832515
"83","2015, 2020","Central Asia (M49) and Southern Asia (MDG=M49)","arr",2.43569958492354,4.24907666046076,6.0099500776433
"84","2015, 2020","Central Asia (M49) and Southern Asia (MDG=M49)","percent_change_in_mmr",11.4661283613594,19.1402351553629,25.9550246263008
"85","2015, 2020","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","arr",-2.41012547252268,-0.436514360333336,1.11177458947617
"86","2015, 2020","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","percent_change_in_mmr",-12.8067818955942,-2.20656415385295,5.40719117415409
"87","2015, 2020","Latin America & the Caribbean (MDG=M49)","arr",-4.83892920911076,-2.99637114510033,-1.36604630513583
"88","2015, 2020","Latin America & the Caribbean (MDG=M49)","percent_change_in_mmr",-27.3725998846105,-16.1623455518584,-7.06889459106774
"89","2015, 2020","Northern America (M49) and Europe (M49)","arr",-5.89722137873781,-3.07411330971365,-0.258743901391746
"90","2015, 2020","Northern America (M49) and Europe (M49)","percent_change_in_mmr",-34.2939769702717,-16.6147601706796,-1.30212427281882
"91","2015, 2020","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","arr",-1.7147909678482,1.33554426477091,4.38136731116435
"92","2015, 2020","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","percent_change_in_mmr",-8.95225429223025,6.45964246629866,19.6733186607053
"93","2015, 2020","Sub-Saharan Africa (M49)","arr",-0.134185589843268,1.88419960028713,3.22765680653145
"94","2015, 2020","Sub-Saharan Africa (M49)","percent_change_in_mmr",-0.673183732268128,8.99083576060589,14.9033774718307
"95","2015, 2020","Western Asia (M49) and Northern Africa (M49)","arr",-1.69957768875,0.579392628655941,2.46263339205839
"96","2015, 2020","Western Asia (M49) and Northern Africa (M49)","percent_change_in_mmr",-8.86940795560821,2.85540345119009,11.5852749074095
