"","period","group","parameter","0.1","0.5","0.9"
"1","2000, 2015","AFR","arr",0.999173878185059,2.08464460400588,2.79192846738863
"2","2000, 2015","AFR","percent_change_in_mmr",13.9185351059928,26.8528258773107,34.2157192193097
"3","2000, 2015","AMR","arr",0.658972931860902,1.07419529375728,1.40772727318868
"4","2000, 2015","AMR","percent_change_in_mmr",9.41177422923832,14.8817988750237,19.0354750301523
"5","2000, 2015","EMR","arr",2.54073768005523,4.01950637506149,5.28212361481161
"6","2000, 2015","EMR","percent_change_in_mmr",31.6897700632954,45.2791814986018,54.7206243079895
"7","2000, 2015","EUR","arr",4.47525960645761,4.99266096852347,5.51809046772949
"8","2000, 2015","EUR","percent_change_in_mmr",48.8950559452198,52.7113153613631,56.2952576810966
"9","2000, 2015","SEAR","arr",5.36415984217748,6.15803449154038,7.03913308818546
"10","2000, 2015","SEAR","percent_change_in_mmr",55.2743926006855,60.2954808927433,65.2110354613398
"11","2000, 2015","WPR","arr",3.29222046008384,4.02249365818769,4.80013710399272
"12","2000, 2015","WPR","percent_change_in_mmr",38.9717348796051,45.3036960725677,51.325775428873
"13","2000, 2020","AFR","arr",0.883416678284192,2.01702634787289,2.68869784202459
"14","2000, 2020","AFR","percent_change_in_mmr",16.1954875322622,33.1958692281056,41.5932994988865
"15","2000, 2020","AMR","arr",-0.543167838352806,0.0311282914943924,0.504238227536048
"16","2000, 2020","AMR","percent_change_in_mmr",-11.4753793808835,0.620631901186622,9.59292382430873
"17","2000, 2020","EMR","arr",2.1097412589382,3.48474774509411,4.65837347890401
"18","2000, 2020","EMR","percent_change_in_mmr",34.4232026533993,50.1897573937345,60.6106477454952
"19","2000, 2020","EUR","arr",2.87317242277025,3.47342728107555,4.04897723847605
"20","2000, 2020","EUR","percent_change_in_mmr",43.7089416254925,50.0768544397251,55.5050927716078
"21","2000, 2020","SEAR","arr",5.00229553355268,5.77181280511403,6.64107669087947
"22","2000, 2020","SEAR","percent_change_in_mmr",63.2289413227882,68.4741568781209,73.5050314341255
"23","2000, 2020","WPR","arr",1.96947310144616,2.72898889973402,3.46087299025966
"24","2000, 2020","WPR","percent_change_in_mmr",32.5574860213976,42.0620618242006,49.9513462427921
"25","2010, 2020","AFR","arr",0.311023477835808,2.0573202414392,3.08563900662549
