"","period","group","parameter","0.1","0.5","0.9"
"1","2000, 2015","world","arr",1.98615705811731,2.70901245474308,3.2424986994736
"2","2000, 2015","world","percent_change_in_mmr",25.7641915496239,33.3924244662365,38.5148685136514
"3","2000, 2020","world","arr",1.31924051024029,2.0998505842298,2.63243113380462
"4","2000, 2020","world","percent_change_in_mmr",23.190979524106,34.2933545245574,40.9323167887672
"5","2010, 2020","world","arr",0.0639959872919444,1.31815163312923,2.09292972688132
"6","2010, 2020","world","percent_change_in_mmr",0.637916474024203,12.3497009911534,18.8842446167711
"7","2000, 2005","world","arr",1.9057827628828,2.67302970795075,3.46062975616745
"8","2000, 2005","world","percent_change_in_mmr",9.08899619257037,12.5105074550625,15.8888870261766
"9","2005, 2010","world","arr",2.18174055049951,3.11364426165432,3.93831459504701
"10","2005, 2010","world","percent_change_in_mmr",10.3347619330925,14.4168880882574,17.8740161725495
"11","2010, 2015","world","arr",0.997655694155845,2.33578654921404,3.21447160675468
"12","2010, 2015","world","percent_change_in_mmr",4.86590695994975,11.0227375912819,14.8472582455497
"13","2015, 2020","world","arr",-1.25976914942193,0.283434683817919,1.32693171052369
"14","2015, 2020","world","percent_change_in_mmr",-6.50145467183283,1.40717878449788,6.41935285246669
"15","2016, 2020","world","arr",-1.6207504060581,-0.0322007287073968,1.08480441992379
"16","2016, 2020","world","percent_change_in_mmr",-6.69776401049421,-0.128885993731508,4.24642009601666
