"","group","year_mid","parameter","0.1","0.5","0.9"
"1","Alert",1985,"mmr",716.781160345066,846.576102841469,1002.00419176911
"2","Alert",1985,"pm",0.27392269362397,0.323524695231081,0.382922574443459
"3","Alert",1985,"maternal_deaths_aggregated_samples",124820.27126249,147422.762548813,174489.009954672
"4","Alert",1985,"maternal_deaths_summation_of_country_estimates",144032.791956578,144032.791956578,144032.791956578
"5","Alert",1985,"mmr_rate",0.00161105968970269,0.00161105968970269,0.00161105968970269
"6","Alert",1985,"pm_mean",0.32678998776617,0.32678998776617,0.32678998776617
"7","Alert",1985,"mmr_mean",855.120484985214,855.120484985214,855.120484985214
"8","Alert",1985,"births",17414000,17414000,17414000
"9","Alert",1985,"hiv_related_indirect_mmr",6.52940255321483e-06,6.52940255321483e-06,6.52940255321483e-06
"10","Alert",1985,"hiv_related_indirect_maternal_deaths",113.703016061683,113.703016061683,113.703016061683
"11","Alert",1985,"hiv_related_indirect_percentage",0.0789424508940722,0.0789424508940722,0.0789424508940722
"12","Alert",1985,"lifetime_risk",0.0413564102114427,0.0488696115064942,0.0573012535096571
"13","Alert",1985,"lifetime_risk_1_in",24,20,17
"14","Alert",1986,"mmr",712.228141851153,840.955157890631,989.018371863897
"15","Alert",1986,"pm",0.26755511625638,0.315912615374938,0.371533936830935
"16","Alert",1986,"maternal_deaths_aggregated_samples",126769.486968087,149681.608552953,176035.380008055
"17","Alert",1986,"maternal_deaths_summation_of_country_estimates",146606.22288826,146606.22288826,146606.22288826
"18","Alert",1986,"mmr_rate",0.00159085024624184,0.00159085024624184,0.00159085024624184
"19","Alert",1986,"pm_mean",0.318333889487418,0.318333889487418,0.318333889487418
"20","Alert",1986,"mmr_mean",847.400557201893,847.400557201893,847.400557201893
"21","Alert",1986,"births",17799000,17799000,17799000
"22","Alert",1986,"hiv_related_indirect_mmr",9.71753904012269e-06,9.71753904012269e-06,9.71753904012269e-06
"23","Alert",1986,"hiv_related_indirect_maternal_deaths",172.962477375144,172.962477375144,172.962477375144
"24","Alert",1986,"hiv_related_indirect_percentage",0.117977582375185,0.117977582375185,0.117977582375185
"25","Alert",1986,"lifetime_risk",0.0409886584408554,0.0481621474768519,0.0564116406124357
"26","Alert",1986,"lifetime_risk_1_in",24,21,18
"27","Alert",1987,"mmr",709.444180087108,826.561896258279,962.912583965416
"28","Alert",1987,"pm",0.262983194491121,0.306397450319419,0.356941158240007
"29","Alert",1987,"maternal_deaths_aggregated_samples",128976.951939836,150268.952739755,175057.507764913
"30","Alert",1987,"maternal_deaths_summation_of_country_estimates",147813.568411538,147813.568411538,147813.568411538
"31","Alert",1987,"mmr_rate",0.00155575521153903,0.00155575521153903,0.00155575521153903
"32","Alert",1987,"pm_mean",0.308773934350182,0.308773934350182,0.308773934350182
"33","Alert",1987,"mmr_mean",832.972886770268,832.972886770268,832.972886770268
"34","Alert",1987,"births",18180000,18180000,18180000
"35","Alert",1987,"hiv_related_indirect_mmr",1.34006945687459e-05,1.34006945687459e-05,1.34006945687459e-05
"36","Alert",1987,"hiv_related_indirect_maternal_deaths",243.624627259801,243.624627259801,243.624627259801
"37","Alert",1987,"hiv_related_indirect_percentage",0.164818852476053,0.164818852476053,0.164818852476053
"38","Alert",1987,"lifetime_risk",0.041048500924767,0.0476733833179619,0.0552738571489718
"39","Alert",1987,"lifetime_risk_1_in",24,21,18
"40","Alert",1988,"mmr",697.355609758402,806.275465773268,932.029693352393
"41","Alert",1988,"pm",0.257854134431356,0.298128328547083,0.344627198061782
"42","Alert",1988,"maternal_deaths_aggregated_samples",129373.412722379,149580.224410257,172910.148710736
"43","Alert",1988,"maternal_deaths_summation_of_country_estimates",147581.691492916,147581.691492916,147581.691492916
"44","Alert",1988,"mmr_rate",0.00150791904684477,0.00150791904684477,0.00150791904684477
"45","Alert",1988,"pm_mean",0.300203220346741,0.300203220346741,0.300203220346741
"46","Alert",1988,"mmr_mean",811.886922961354,811.886922961354,811.886922961354
"47","Alert",1988,"births",18552000,18552000,18552000
"48","Alert",1988,"hiv_related_indirect_mmr",1.84222675934853e-05,1.84222675934853e-05,1.84222675934853e-05
"49","Alert",1988,"hiv_related_indirect_maternal_deaths",341.769908394338,341.769908394338,341.769908394338
"50","Alert",1988,"hiv_related_indirect_percentage",0.23158015397238,0.23158015397238,0.23158015397238
"51","Alert",1988,"lifetime_risk",0.0399023668172584,0.0459722381930856,0.0529848816551545
"52","Alert",1988,"lifetime_risk_1_in",25,22,19
"53","Alert",1989,"mmr",689.469692447165,790.550506156072,907.6188161525
"54","Alert",1989,"pm",0.253784486575995,0.290990969603187,0.334082234197155
"55","Alert",1989,"maternal_deaths_aggregated_samples",130875.137020321,150062.297078546,172284.203682068
"56","Alert",1989,"maternal_deaths_summation_of_country_estimates",148432.372550056,148432.372550056,148432.372550056
"57","Alert",1989,"mmr_rate",0.00148141070764284,0.00148141070764284,0.00148141070764284
"58","Alert",1989,"pm_mean",0.292952563458779,0.292952563458779,0.292952563458779
"59","Alert",1989,"mmr_mean",795.879671585246,795.879671585246,795.879671585246
"60","Alert",1989,"births",18982000,18982000,18982000
"61","Alert",1989,"hiv_related_indirect_mmr",2.43544207850921e-05,2.43544207850921e-05,2.43544207850921e-05
"62","Alert",1989,"hiv_related_indirect_maternal_deaths",462.295615342619,462.295615342619,462.295615342619
"63","Alert",1989,"hiv_related_indirect_percentage",0.311452015082974,0.311452015082974,0.311452015082974
"64","Alert",1989,"lifetime_risk",0.0393780911946273,0.0451228852462158,0.0516682105161435
"65","Alert",1989,"lifetime_risk_1_in",25,22,19
"66","Alert",1990,"mmr",682.183775532616,781.62790712809,891.314322397055
"67","Alert",1990,"pm",0.248722730760829,0.284979846300192,0.324971276339353
"68","Alert",1990,"maternal_deaths_aggregated_samples",132166.284671689,151432.590726996,172683.236821205
"69","Alert",1990,"maternal_deaths_summation_of_country_estimates",149561.01294229,149561.01294229,149561.01294229
"70","Alert",1990,"mmr_rate",0.00145531557524921,0.00145531557524921,0.00145531557524921
"71","Alert",1990,"pm_mean",0.286224617800125,0.286224617800125,0.286224617800125
"72","Alert",1990,"mmr_mean",785.04200168592,785.04200168592,785.04200168592
"73","Alert",1990,"births",19374000,19374000,19374000
"74","Alert",1990,"hiv_related_indirect_mmr",3.14485955579814e-05,3.14485955579814e-05,3.14485955579814e-05
"75","Alert",1990,"hiv_related_indirect_maternal_deaths",609.285090340332,609.285090340332,609.285090340332
"76","Alert",1990,"hiv_related_indirect_percentage",0.407382297267159,0.407382297267159,0.407382297267159
