"","group","year_mid","parameter","0.1","0.5","0.9"
"1","Arab States",1985,"mmr",348.26229394952,416.629076889658,496.482701091102
"2","Arab States",1985,"pm",0.195906804539758,0.234364938581702,0.279284726396834
"3","Arab States",1985,"maternal_deaths_aggregated_samples",24855.4799191772,29734.8172176149,35433.9703768719
"4","Arab States",1985,"maternal_deaths_summation_of_country_estimates",29094.6234162576,29094.6234162576,29094.6234162576
"5","Arab States",1985,"mmr_rate",0.000730055976110846,0.000730055976110846,0.000730055976110846
"6","Arab States",1985,"pm_mean",0.236518823172765,0.236518823172765,0.236518823172765
"7","Arab States",1985,"mmr_mean",420.45802397676,420.45802397676,420.45802397676
"8","Arab States",1985,"births",7137000,7137000,7137000
"9","Arab States",1985,"hiv_related_indirect_mmr",6.75819014221349e-08,6.75819014221349e-08,6.75819014221349e-08
"10","Arab States",1985,"hiv_related_indirect_maternal_deaths",0.482332030449777,0.482332030449777,0.482332030449777
"11","Arab States",1985,"hiv_related_indirect_percentage",0.00165780468627842,0.00165780468627842,0.00165780468627842
"12","Arab States",1985,"lifetime_risk",0.0193761793155696,0.0228807540071247,0.0269512281543049
"13","Arab States",1985,"lifetime_risk_1_in",52,44,37
"14","Arab States",1986,"mmr",322.74886808828,380.933891338735,449.692852114311
"15","Arab States",1986,"pm",0.189170326925567,0.223273869830788,0.263575033909295
"16","Arab States",1986,"maternal_deaths_aggregated_samples",23225.0085476326,27412.0028207353,32359.8976381458
"17","Arab States",1986,"maternal_deaths_summation_of_country_estimates",26831.8288786579,26831.8288786579,26831.8288786579
"18","Arab States",1986,"mmr_rate",0.000646698688151683,0.000646698688151683,0.000646698688151683
"19","Arab States",1986,"pm_mean",0.225339743555217,0.225339743555217,0.225339743555217
"20","Arab States",1986,"mmr_mean",384.458537180442,384.458537180442,384.458537180442
"21","Arab States",1986,"births",7196000,7196000,7196000
"22","Arab States",1986,"hiv_related_indirect_mmr",8.28918558945588e-08,8.28918558945588e-08,8.28918558945588e-08
"23","Arab States",1986,"hiv_related_indirect_maternal_deaths",0.596489795017245,0.596489795017245,0.596489795017245
"24","Arab States",1986,"hiv_related_indirect_percentage",0.00222306797540624,0.00222306797540624,0.00222306797540624
"25","Arab States",1986,"lifetime_risk",0.0176107807647631,0.0206698998617204,0.0241972037910298
"26","Arab States",1986,"lifetime_risk_1_in",57,48,41
"27","Arab States",1987,"mmr",339.472485350152,404.640741077313,482.168485975682
"28","Arab States",1987,"pm",0.189044835284618,0.225335617899944,0.268509130914358
"29","Arab States",1987,"maternal_deaths_aggregated_samples",24615.1499127395,29340.500135516,34962.0369180967
"30","Arab States",1987,"maternal_deaths_summation_of_country_estimates",28864.3849605834,28864.3849605834,28864.3849605834
"31","Arab States",1987,"mmr_rate",0.000681319358059218,0.000681319358059218,0.000681319358059218
"32","Arab States",1987,"pm_mean",0.227629861366307,0.227629861366307,0.227629861366307
"33","Arab States",1987,"mmr_mean",408.760570801049,408.760570801049,408.760570801049
"34","Arab States",1987,"births",7251000,7251000,7251000
"35","Arab States",1987,"hiv_related_indirect_mmr",1.04389971570666e-07,1.04389971570666e-07,1.04389971570666e-07
"36","Arab States",1987,"hiv_related_indirect_maternal_deaths",0.756931683858899,0.756931683858899,0.756931683858899
"37","Arab States",1987,"hiv_related_indirect_percentage",0.00262237246659698,0.00262237246659698,0.00262237246659698
"38","Arab States",1987,"lifetime_risk",0.0179009690108402,0.0210446306113083,0.0247918061415493
"39","Arab States",1987,"lifetime_risk_1_in",56,48,40
"40","Arab States",1988,"mmr",368.1705950494,445.72181767756,536.597176937415
"41","Arab States",1988,"pm",0.190184088385958,0.230244345172011,0.277187386224116
"42","Arab States",1988,"maternal_deaths_aggregated_samples",26813.8644374478,32461.9199814567,39080.3723963519
"43","Arab States",1988,"maternal_deaths_summation_of_country_estimates",31952.8829522945,31952.8829522945,31952.8829522945
"44","Arab States",1988,"mmr_rate",0.000733730638023834,0.000733730638023834,0.000733730638023834
"45","Arab States",1988,"pm_mean",0.232538606594029,0.232538606594029,0.232538606594029
"46","Arab States",1988,"mmr_mean",450.163196554792,450.163196554792,450.163196554792
"47","Arab States",1988,"births",7283000,7283000,7283000
"48","Arab States",1988,"hiv_related_indirect_mmr",1.40898473686096e-07,1.40898473686096e-07,1.40898473686096e-07
"49","Arab States",1988,"hiv_related_indirect_maternal_deaths",1.02616358385584,1.02616358385584,1.02616358385584
"50","Arab States",1988,"hiv_related_indirect_percentage",0.00321148982202294,0.00321148982202294,0.00321148982202294
"51","Arab States",1988,"lifetime_risk",0.0181534976887099,0.0214885642202616,0.0254317588823521
"52","Arab States",1988,"lifetime_risk_1_in",55,47,39
"53","Arab States",1989,"mmr",310.345812016053,363.888792612405,427.143192201888
"54","Arab States",1989,"pm",0.176174716509183,0.206569582695201,0.242477352299836
"55","Arab States",1989,"maternal_deaths_aggregated_samples",22552.8301592066,26443.7985591435,31040.4957773112
"56","Arab States",1989,"maternal_deaths_summation_of_country_estimates",26021.817479612,26021.817479612,26021.817479612
"57","Arab States",1989,"mmr_rate",0.000572568007783998,0.000572568007783998,0.000572568007783998
"58","Arab States",1989,"pm_mean",0.208407217168073,0.208407217168073,0.208407217168073
"59","Arab States",1989,"mmr_mean",367.125932276782,367.125932276782,367.125932276782
"60","Arab States",1989,"births",7267000,7267000,7267000
"61","Arab States",1989,"hiv_related_indirect_mmr",1.56647482365343e-07,1.56647482365343e-07,1.56647482365343e-07
"62","Arab States",1989,"hiv_related_indirect_maternal_deaths",1.13835725434894,1.13835725434894,1.13835725434894
"63","Arab States",1989,"hiv_related_indirect_percentage",0.00437462623523835,0.00437462623523835,0.00437462623523835
"64","Arab States",1989,"lifetime_risk",0.0154848796458787,0.0180169508854351,0.0209434114000461
