"","group","year_mid","parameter","0.1","0.5","0.9"
"1","East Asia and Pacific",1985,"mmr",165.756332200535,190.247070360925,221.264204984866
"2","East Asia and Pacific",1985,"pm",0.0780726844824802,0.0896080366934952,0.104217378809704
"3","East Asia and Pacific",1985,"maternal_deaths_aggregated_samples",65132.293174878,74755.6838276217,86943.5567067531
"4","East Asia and Pacific",1985,"maternal_deaths_summation_of_country_estimates",73388.7938432923,73388.7938432923,73388.7938432923
"5","East Asia and Pacific",1985,"mmr_rate",0.000175324545159078,0.000175324545159078,0.000175324545159078
"6","East Asia and Pacific",1985,"pm_mean",0.0906326999952264,0.0906326999952264,0.0906326999952264
"7","East Asia and Pacific",1985,"mmr_mean",192.422535848775,192.422535848775,192.422535848775
"8","East Asia and Pacific",1985,"births",39294000,39294000,39294000
"9","East Asia and Pacific",1985,"hiv_related_indirect_mmr",5.74044611302635e-10,5.74044611302635e-10,5.74044611302635e-10
"10","East Asia and Pacific",1985,"hiv_related_indirect_maternal_deaths",0.0225565089565258,0.0225565089565258,0.0225565089565258
"11","East Asia and Pacific",1985,"hiv_related_indirect_percentage",3.07356311165038e-05,3.07356311165038e-05,3.07356311165038e-05
"12","East Asia and Pacific",1985,"lifetime_risk",0.00506767706780861,0.00581748760259549,0.00677794385307168
"13","East Asia and Pacific",1985,"lifetime_risk_1_in",197,172,148
"14","East Asia and Pacific",1986,"mmr",150.890924187842,171.668306384778,197.799204137524
"15","East Asia and Pacific",1986,"pm",0.0751756889319439,0.0855272327989065,0.0985459630608234
"16","East Asia and Pacific",1986,"maternal_deaths_aggregated_samples",61936.1976513836,70464.6897217599,81190.6393223295
"17","East Asia and Pacific",1986,"maternal_deaths_summation_of_country_estimates",69364.8293742122,69364.8293742122,69364.8293742122
"18","East Asia and Pacific",1986,"mmr_rate",0.000154127018734639,0.000154127018734639,0.000154127018734639
"19","East Asia and Pacific",1986,"pm_mean",0.0864162949305579,0.0864162949305579,0.0864162949305579
"20","East Asia and Pacific",1986,"mmr_mean",173.452811570048,173.452811570048,173.452811570048
"21","East Asia and Pacific",1986,"births",41047000,41047000,41047000
"22","East Asia and Pacific",1986,"hiv_related_indirect_mmr",9.59598748657394e-10,9.59598748657394e-10,9.59598748657394e-10
"23","East Asia and Pacific",1986,"hiv_related_indirect_maternal_deaths",0.0393886498361401,0.0393886498361401,0.0393886498361401
"24","East Asia and Pacific",1986,"hiv_related_indirect_percentage",5.67847570468956e-05,5.67847570468956e-05,5.67847570468956e-05
"25","East Asia and Pacific",1986,"lifetime_risk",0.00449328395080298,0.00511010399213078,0.0058911118710433
"26","East Asia and Pacific",1986,"lifetime_risk_1_in",223,196,170
"27","East Asia and Pacific",1987,"mmr",144.688024918083,163.857213535353,186.850888444775
"28","East Asia and Pacific",1987,"pm",0.0749767641505736,0.0849101621268652,0.0968253938235776
"29","East Asia and Pacific",1987,"maternal_deaths_aggregated_samples",61556.0733211492,69711.4129264806,79493.8419799449
"30","East Asia and Pacific",1987,"maternal_deaths_summation_of_country_estimates",68553.6333239704,68553.6333239704,68553.6333239704
"31","East Asia and Pacific",1987,"mmr_rate",0.000146755575700279,0.000146755575700279,0.000146755575700279
"32","East Asia and Pacific",1987,"pm_mean",0.0855707733670055,0.0855707733670055,0.0855707733670055
"33","East Asia and Pacific",1987,"mmr_mean",165.132042299403,165.132042299403,165.132042299403
"34","East Asia and Pacific",1987,"births",42544000,42544000,42544000
"35","East Asia and Pacific",1987,"hiv_related_indirect_mmr",1.45398841725143e-09,1.45398841725143e-09,1.45398841725143e-09
"36","East Asia and Pacific",1987,"hiv_related_indirect_maternal_deaths",0.0618584832235448,0.0618584832235448,0.0618584832235448
"37","East Asia and Pacific",1987,"hiv_related_indirect_percentage",9.02337049463364e-05,9.02337049463364e-05,9.02337049463364e-05
"38","East Asia and Pacific",1987,"lifetime_risk",0.00430199756859427,0.0048751559334219,0.00556529519681748
"39","East Asia and Pacific",1987,"lifetime_risk_1_in",232,205,180
"40","East Asia and Pacific",1988,"mmr",145.921372609352,163.984804416883,185.573858659679
"41","East Asia and Pacific",1988,"pm",0.0737339597439889,0.0828613982399275,0.0937703310986573
"42","East Asia and Pacific",1988,"maternal_deaths_aggregated_samples",60303.4664445408,67768.3602733212,76690.2528296991
"43","East Asia and Pacific",1988,"maternal_deaths_summation_of_country_estimates",66777.392321448,66777.392321448,66777.392321448
"44","East Asia and Pacific",1988,"mmr_rate",0.000146076525203162,0.000146076525203162,0.000146076525203162
"45","East Asia and Pacific",1988,"pm_mean",0.0834552296941913,0.0834552296941913,0.0834552296941913
"46","East Asia and Pacific",1988,"mmr_mean",165.160011895305,165.160011895305,165.160011895305
"47","East Asia and Pacific",1988,"births",41326000,41326000,41326000
"48","East Asia and Pacific",1988,"hiv_related_indirect_mmr",3.29971140472771e-09,3.29971140472771e-09,3.29971140472771e-09
"49","East Asia and Pacific",1988,"hiv_related_indirect_maternal_deaths",0.136363873511777,0.136363873511777,0.136363873511777
"50","East Asia and Pacific",1988,"hiv_related_indirect_percentage",0.00020420664654792,0.00020420664654792,0.00020420664654792
"51","East Asia and Pacific",1988,"lifetime_risk",0.00431673859322534,0.00485164992178712,0.00549288590881154
"52","East Asia and Pacific",1988,"lifetime_risk_1_in",232,206,182
"53","East Asia and Pacific",1989,"mmr",138.887756690543,155.134428586389,174.260745903465
"54","East Asia and Pacific",1989,"pm",0.0721137320005472,0.0805493793960794,0.0904802052228239
"55","East Asia and Pacific",1989,"maternal_deaths_aggregated_samples",58430.0792397113,65265.0541062939,73311.4958015879
"56","East Asia and Pacific",1989,"maternal_deaths_summation_of_country_estimates",64410.9945900953,64410.9945900953,64410.9945900953
"57","East Asia and Pacific",1989,"mmr_rate",0.000138549577222138,0.000138549577222138,0.000138549577222138
"58","East Asia and Pacific",1989,"pm_mean",0.0810477722064835,0.0810477722064835,0.0810477722064835
"59","East Asia and Pacific",1989,"mmr_mean",156.094310393466,156.094310393466,156.094310393466
"60","East Asia and Pacific",1989,"births",42070000,42070000,42070000
"61","East Asia and Pacific",1989,"hiv_related_indirect_mmr",6.48601572147909e-09,6.48601572147909e-09,6.48601572147909e-09
"62","East Asia and Pacific",1989,"hiv_related_indirect_maternal_deaths",0.272866681402625,0.272866681402625,0.272866681402625
"63","East Asia and Pacific",1989,"hiv_related_indirect_percentage",0.000423633702815986,0.000423633702815986,0.000423633702815986
"64","East Asia and Pacific",1989,"lifetime_risk",0.00412960908427043,0.00461306282525989,0.00517830828437697
"65","East Asia and Pacific",1989,"lifetime_risk_1_in",242,217,193
"66","East Asia and Pacific",1990,"mmr",131.448139210653,145.647974345714,162.687084217799
