"","group","year_mid","parameter","0.1","0.5","0.9"
"1","Africa",1985,"mmr",827.157421315665,926.102894450315,1041.14971611475
"2","Africa",1985,"pm",0.289698903899905,0.324353002834751,0.364646346368248
"3","Africa",1985,"maternal_deaths_aggregated_samples",203886.032780098,228275.102453058,256632.993525124
"4","Africa",1985,"maternal_deaths_summation_of_country_estimates",222274.914052309,222274.914052309,222274.914052309
"5","Africa",1985,"mmr_rate",0.00176807992577751,0.00176807992577751,0.00176807992577751
"6","Africa",1985,"pm_mean",0.326232751034301,0.326232751034301,0.326232751034301
"7","Africa",1985,"mmr_mean",931.470010626909,931.470010626909,931.470010626909
"8","Africa",1985,"births",24649000,24649000,24649000
"9","Africa",1985,"hiv_related_indirect_mmr",8.80103921422456e-06,8.80103921422456e-06,8.80103921422456e-06
"10","Africa",1985,"hiv_related_indirect_maternal_deaths",216.936815591421,216.936815591421,216.936815591421
"11","Africa",1985,"hiv_related_indirect_percentage",0.097598425137786,0.097598425137786,0.097598425137786
"12","Africa",1985,"lifetime_risk",0.0480893984741504,0.0536279700792586,0.0599799481200632
"13","Africa",1985,"lifetime_risk_1_in",21,19,17
"14","Africa",1986,"mmr",805.906718525829,901.244252147608,1012.12830378126
"15","Africa",1986,"pm",0.281755933491187,0.315087229986006,0.353853800308776
"16","Africa",1986,"maternal_deaths_aggregated_samples",202556.594634282,226518.73033478,254388.327872382
"17","Africa",1986,"maternal_deaths_summation_of_country_estimates",221432.131458993,221432.131458993,221432.131458993
"18","Africa",1986,"mmr_rate",0.00170035766634914,0.00170035766634914,0.00170035766634914
"19","Africa",1986,"pm_mean",0.316898987928656,0.316898987928656,0.316898987928656
"20","Africa",1986,"mmr_mean",906.426424818232,906.426424818232,906.426424818232
"21","Africa",1986,"births",25134000,25134000,25134000
"22","Africa",1986,"hiv_related_indirect_mmr",1.28741905270567e-05,1.28741905270567e-05,1.28741905270567e-05
"23","Africa",1986,"hiv_related_indirect_maternal_deaths",323.579904707043,323.579904707043,323.579904707043
"24","Africa",1986,"hiv_related_indirect_percentage",0.146130510768699,0.146130510768699,0.146130510768699
"25","Africa",1986,"lifetime_risk",0.0461565839430821,0.0514188190116509,0.0573162799568256
"26","Africa",1986,"lifetime_risk_1_in",22,19,17
"27","Africa",1987,"mmr",835.90812373958,925.821004164071,1029.04718397332
"28","Africa",1987,"pm",0.282836188654356,0.313258929728375,0.348186331960073
"29","Africa",1987,"maternal_deaths_aggregated_samples",214050.993245994,237074.984536294,263508.112400047
"30","Africa",1987,"maternal_deaths_summation_of_country_estimates",232559.616494605,232559.616494605,232559.616494605
"31","Africa",1987,"mmr_rate",0.00174694832466815,0.00174694832466815,0.00174694832466815
"32","Africa",1987,"pm_mean",0.314760483447602,0.314760483447602,0.314760483447602
"33","Africa",1987,"mmr_mean",930.258770625656,930.258770625656,930.258770625656
"34","Africa",1987,"births",25607000,25607000,25607000
"35","Africa",1987,"hiv_related_indirect_mmr",1.80678993717359e-05,1.80678993717359e-05,1.80678993717359e-05
"36","Africa",1987,"hiv_related_indirect_maternal_deaths",462.664699212041,462.664699212041,462.664699212041
"37","Africa",1987,"hiv_related_indirect_percentage",0.198944557178857,0.198944557178857,0.198944557178857
"38","Africa",1987,"lifetime_risk",0.0465241851533364,0.0514469867994522,0.0568604086245541
"39","Africa",1987,"lifetime_risk_1_in",21,19,18
"40","Africa",1988,"mmr",821.815722738869,907.055019761022,1000.98934651174
"41","Africa",1988,"pm",0.276112557820045,0.304751143912231,0.336311074573824
"42","Africa",1988,"maternal_deaths_aggregated_samples",213589.906339832,235743.59963589,260157.131158402
"43","Africa",1988,"maternal_deaths_summation_of_country_estimates",231401.612741261,231401.612741261,231401.612741261
"44","Africa",1988,"mmr_rate",0.00169022355891674,0.00169022355891674,0.00169022355891674
"45","Africa",1988,"pm_mean",0.305724925435367,0.305724925435367,0.305724925435367
"46","Africa",1988,"mmr_mean",909.953363003878,909.953363003878,909.953363003878
"47","Africa",1988,"births",25990000,25990000,25990000
"48","Africa",1988,"hiv_related_indirect_mmr",2.48329700027599e-05,2.48329700027599e-05,2.48329700027599e-05
"49","Africa",1988,"hiv_related_indirect_maternal_deaths",645.40889037173,645.40889037173,645.40889037173
"50","Africa",1988,"hiv_related_indirect_percentage",0.278912874774726,0.278912874774726,0.278912874774726
"51","Africa",1988,"lifetime_risk",0.0447809542502114,0.0493593473331708,0.0543573087461324
"52","Africa",1988,"lifetime_risk_1_in",22,20,18
"53","Africa",1989,"mmr",788.76482133984,867.051838070407,953.425172762109
"54","Africa",1989,"pm",0.266186546213731,0.29260627238951,0.321754909631587
