"","group","year_mid","parameter","0.1","0.5","0.9"
"1","High income",1985,"mmr",21.2438044679021,22.827985999547,24.7294119360939
"2","High income",1985,"pm",0.0122377217048016,0.0131503064889182,0.0142456433194238
"3","High income",1985,"maternal_deaths_aggregated_samples",2952.88882103839,3173.09005393703,3437.38825911705
"4","High income",1985,"maternal_deaths_summation_of_country_estimates",3109.05225361695,3109.05225361695,3109.05225361695
"5","High income",1985,"mmr_rate",1.27839401179921e-05,1.27839401179921e-05,1.27839401179921e-05
"6","High income",1985,"pm_mean",0.0132112238377145,0.0132112238377145,0.0132112238377145
"7","High income",1985,"mmr_mean",22.9337341345143,22.9337341345143,22.9337341345143
"8","High income",1985,"births",13900000,13900000,13900000
"9","High income",1985,"hiv_related_indirect_mmr",4.76060115647536e-08,4.76060115647536e-08,4.76060115647536e-08
"10","High income",1985,"hiv_related_indirect_maternal_deaths",0.661723560750075,0.661723560750075,0.661723560750075
"11","High income",1985,"hiv_related_indirect_percentage",0.0212837709620432,0.0212837709620432,0.0212837709620432
"12","High income",1985,"lifetime_risk",0.000414039231202808,0.000444685606040148,0.000481418717168098
"13","High income",1985,"lifetime_risk_1_in",2415,2249,2077
"14","High income",1986,"mmr",21.0244479265465,22.4963843214167,24.0902416167836
"15","High income",1986,"pm",0.0119909286520359,0.01283042200534,0.0137394508263127
"16","High income",1986,"maternal_deaths_aggregated_samples",2904.10699209387,3107.4255663173,3327.58507452632
"17","High income",1986,"maternal_deaths_summation_of_country_estimates",3053.12283648622,3053.12283648622,3053.12283648622
"18","High income",1986,"mmr_rate",1.23398164758287e-05,1.23398164758287e-05,1.23398164758287e-05
"19","High income",1986,"pm_mean",0.0128536004945628,0.0128536004945628,0.0128536004945628
"20","High income",1986,"mmr_mean",22.5370246215823,22.5370246215823,22.5370246215823
"21","High income",1986,"births",13813000,13813000,13813000
"22","High income",1986,"hiv_related_indirect_mmr",7.94821014415836e-08,7.94821014415836e-08,7.94821014415836e-08
"23","High income",1986,"hiv_related_indirect_maternal_deaths",1.09788626721259,1.09788626721259,1.09788626721259
"24","High income",1986,"hiv_related_indirect_percentage",0.0359594528622415,0.0359594528622415,0.0359594528622415
"25","High income",1986,"lifetime_risk",0.00040058514931925,0.000428453377351121,0.000458622852465605
"26","High income",1986,"lifetime_risk_1_in",2496,2334,2180
"27","High income",1987,"mmr",20.5083696203645,21.7563937237876,23.1538583227116
"28","High income",1987,"pm",0.011748809723987,0.0124637762470941,0.0132643540586263
"29","High income",1987,"maternal_deaths_aggregated_samples",2842.46002938252,3015.43617011696,3209.12476352782
"30","High income",1987,"maternal_deaths_summation_of_country_estimates",2974.83861516734,2974.83861516734,2974.83861516734
"31","High income",1987,"mmr_rate",1.19987980569829e-05,1.19987980569829e-05,1.19987980569829e-05
"32","High income",1987,"pm_mean",0.0124923133432358,0.0124923133432358,0.0124923133432358
"33","High income",1987,"mmr_mean",21.8062072222879,21.8062072222879,21.8062072222879
"34","High income",1987,"births",13860000,13860000,13860000
"35","High income",1987,"hiv_related_indirect_mmr",1.21553284565664e-07,1.21553284565664e-07,1.21553284565664e-07
"36","High income",1987,"hiv_related_indirect_maternal_deaths",1.68472852408011,1.68472852408011,1.68472852408011
"37","High income",1987,"hiv_related_indirect_percentage",0.0566326023701066,0.0566326023701066,0.0566326023701066
"38","High income",1987,"lifetime_risk",0.000391109148539509,0.000414617934952177,0.000441217182774182
"39","High income",1987,"lifetime_risk_1_in",2557,2412,2266
"40","High income",1988,"mmr",19.4962376054398,20.5330628336958,21.7151800796043
"41","High income",1988,"pm",0.0112709331677093,0.01187033024579,0.0125537218182908
"42","High income",1988,"maternal_deaths_aggregated_samples",2732.59266277844,2877.9140867708,3043.59963995734
"43","High income",1988,"maternal_deaths_summation_of_country_estimates",2842.71432453252,2842.71432453252,2842.71432453252
"44","High income",1988,"mmr_rate",1.15036904356502e-05,1.15036904356502e-05,1.15036904356502e-05
"45","High income",1988,"pm_mean",0.0118983284105967,0.0118983284105967,0.0118983284105967
"46","High income",1988,"mmr_mean",20.5814935062466,20.5814935062466,20.5814935062466
"47","High income",1988,"births",14016000,14016000,14016000
"48","High income",1988,"hiv_related_indirect_mmr",1.70319470390893e-07,1.70319470390893e-07,1.70319470390893e-07
"49","High income",1988,"hiv_related_indirect_maternal_deaths",2.38719769699875,2.38719769699875,2.38719769699875
"50","High income",1988,"hiv_related_indirect_percentage",0.0839759970390736,0.0839759970390736,0.0839759970390736
"51","High income",1988,"lifetime_risk",0.000377710935344228,0.000397727940157992,0.000420393823553289
"52","High income",1988,"lifetime_risk_1_in",2648,2514,2379
"53","High income",1989,"mmr",18.4544196811626,19.345763278408,20.3375362852628
"54","High income",1989,"pm",0.010690756430868,0.0112071171433152,0.0117816572174102
"55","High income",1989,"maternal_deaths_aggregated_samples",2591.73870002247,2716.91899481963,2856.20359590231
"56","High income",1989,"maternal_deaths_summation_of_country_estimates",2686.65007423777,2686.65007423777,2686.65007423777
"57","High income",1989,"mmr_rate",1.07581028033881e-05,1.07581028033881e-05,1.07581028033881e-05
"58","High income",1989,"pm_mean",0.0112265102638645,0.0112265102638645,0.0112265102638645
"59","High income",1989,"mmr_mean",19.3792397482778,19.3792397482778,19.3792397482778
"60","High income",1989,"births",14044000,14044000,14044000
"61","High income",1989,"hiv_related_indirect_mmr",2.28120124051182e-07,2.28120124051182e-07,2.28120124051182e-07
"62","High income",1989,"hiv_related_indirect_maternal_deaths",3.2037190221748,3.2037190221748,3.2037190221748
"63","High income",1989,"hiv_related_indirect_percentage",0.119245861338445,0.119245861338445,0.119245861338445
"64","High income",1989,"lifetime_risk",0.000354870785383805,0.000371968880899356,0.000390809494080892
"65","High income",1989,"lifetime_risk_1_in",2818,2688,2559
"66","High income",1990,"mmr",17.0212889975506,17.7779764412096,18.6433290130894
"67","High income",1990,"pm",0.00996724065150328,0.010410337872284,0.0109170666713523
"68","High income",1990,"maternal_deaths_aggregated_samples",2408.85281893336,2515.93922595999,2638.40392193241
"69","High income",1990,"maternal_deaths_summation_of_country_estimates",2490.26268678582,2490.26268678582,2490.26268678582
"70","High income",1990,"mmr_rate",9.83642714584562e-06,9.83642714584562e-06,9.83642714584562e-06
"71","High income",1990,"pm_mean",0.0104315483983799,0.0104315483983799,0.0104315483983799
"72","High income",1990,"mmr_mean",17.8141981506165,17.8141981506165,17.8141981506165
"73","High income",1990,"births",14152000,14152000,14152000
"74","High income",1990,"hiv_related_indirect_mmr",3.00118634899201e-07,3.00118634899201e-07,3.00118634899201e-07
"75","High income",1990,"hiv_related_indirect_maternal_deaths",4.2472789210935,4.2472789210935,4.2472789210935
"76","High income",1990,"hiv_related_indirect_percentage",0.170555457608188,0.170555457608188,0.170555457608188
"77","High income",1990,"lifetime_risk",0.000326061619629622,0.000340409677467102,0.000356967052411707
