"","group","year_mid","parameter","0.1","0.5","0.9"
"1","East Asia & Pacific",1985,"mmr",165.756332200535,190.247070360925,221.264204984866
"2","East Asia & Pacific",1985,"pm",0.0780726844824802,0.0896080366934952,0.104217378809704
"3","East Asia & Pacific",1985,"maternal_deaths_aggregated_samples",65132.293174878,74755.6838276217,86943.5567067531
"4","East Asia & Pacific",1985,"maternal_deaths_summation_of_country_estimates",73388.7938432923,73388.7938432923,73388.7938432923
"5","East Asia & Pacific",1985,"mmr_rate",0.000175324545159078,0.000175324545159078,0.000175324545159078
"6","East Asia & Pacific",1985,"pm_mean",0.0906326999952264,0.0906326999952264,0.0906326999952264
"7","East Asia & Pacific",1985,"mmr_mean",192.422535848775,192.422535848775,192.422535848775
"8","East Asia & Pacific",1985,"births",39294000,39294000,39294000
"9","East Asia & Pacific",1985,"hiv_related_indirect_mmr",5.74044611302635e-10,5.74044611302635e-10,5.74044611302635e-10
"10","East Asia & Pacific",1985,"hiv_related_indirect_maternal_deaths",0.0225565089565258,0.0225565089565258,0.0225565089565258
"11","East Asia & Pacific",1985,"hiv_related_indirect_percentage",3.07356311165038e-05,3.07356311165038e-05,3.07356311165038e-05
"12","East Asia & Pacific",1985,"lifetime_risk",0.00506767706780861,0.00581748760259549,0.00677794385307168
"13","East Asia & Pacific",1985,"lifetime_risk_1_in",197,172,148
"14","East Asia & Pacific",1986,"mmr",150.890924187842,171.668306384778,197.799204137524
"15","East Asia & Pacific",1986,"pm",0.0751756889319439,0.0855272327989065,0.0985459630608234
"16","East Asia & Pacific",1986,"maternal_deaths_aggregated_samples",61936.1976513836,70464.6897217599,81190.6393223295
"17","East Asia & Pacific",1986,"maternal_deaths_summation_of_country_estimates",69364.8293742122,69364.8293742122,69364.8293742122
"18","East Asia & Pacific",1986,"mmr_rate",0.000154127018734639,0.000154127018734639,0.000154127018734639
"19","East Asia & Pacific",1986,"pm_mean",0.0864162949305579,0.0864162949305579,0.0864162949305579
"20","East Asia & Pacific",1986,"mmr_mean",173.452811570048,173.452811570048,173.452811570048
"21","East Asia & Pacific",1986,"births",41047000,41047000,41047000
"22","East Asia & Pacific",1986,"hiv_related_indirect_mmr",9.59598748657394e-10,9.59598748657394e-10,9.59598748657394e-10
"23","East Asia & Pacific",1986,"hiv_related_indirect_maternal_deaths",0.0393886498361401,0.0393886498361401,0.0393886498361401
"24","East Asia & Pacific",1986,"hiv_related_indirect_percentage",5.67847570468956e-05,5.67847570468956e-05,5.67847570468956e-05
"25","East Asia & Pacific",1986,"lifetime_risk",0.00449328395080298,0.00511010399213078,0.0058911118710433
"26","East Asia & Pacific",1986,"lifetime_risk_1_in",223,196,170
"27","East Asia & Pacific",1987,"mmr",144.688024918083,163.857213535353,186.850888444775
"28","East Asia & Pacific",1987,"pm",0.0749767641505736,0.0849101621268652,0.0968253938235776
"29","East Asia & Pacific",1987,"maternal_deaths_aggregated_samples",61556.0733211492,69711.4129264806,79493.8419799449
"30","East Asia & Pacific",1987,"maternal_deaths_summation_of_country_estimates",68553.6333239704,68553.6333239704,68553.6333239704
"31","East Asia & Pacific",1987,"mmr_rate",0.000146755575700279,0.000146755575700279,0.000146755575700279
"32","East Asia & Pacific",1987,"pm_mean",0.0855707733670055,0.0855707733670055,0.0855707733670055
"33","East Asia & Pacific",1987,"mmr_mean",165.132042299403,165.132042299403,165.132042299403
"34","East Asia & Pacific",1987,"births",42544000,42544000,42544000
