"","group","year_mid","parameter","0.1","0.5","0.9"
"1","Australia and New Zealand (M49)",1985,"mmr",7.94881687788898,9.71007244416047,11.5348797274264
"2","Australia and New Zealand (M49)",1985,"pm",0.00556566595303317,0.00679887591249957,0.00807658401967354
"3","Australia and New Zealand (M49)",1985,"maternal_deaths_aggregated_samples",23.6874742961092,28.9360158835982,34.3739415877306
"4","Australia and New Zealand (M49)",1985,"maternal_deaths_summation_of_country_estimates",28.5105951521182,28.5105951521182,28.5105951521182
"5","Australia and New Zealand (M49)",1985,"mmr_rate",5.74038828566138e-06,5.74038828566138e-06,5.74038828566138e-06
"6","Australia and New Zealand (M49)",1985,"pm_mean",0.0068137086284021,0.0068137086284021,0.0068137086284021
"7","Australia and New Zealand (M49)",1985,"mmr_mean",9.73125634982527,9.73125634982527,9.73125634982527
"8","Australia and New Zealand (M49)",1985,"births",298000,298000,298000
"9","Australia and New Zealand (M49)",1985,"hiv_related_indirect_mmr",7.56929830755898e-08,7.56929830755898e-08,7.56929830755898e-08
"10","Australia and New Zealand (M49)",1985,"hiv_related_indirect_maternal_deaths",0.0225565089565258,0.0225565089565258,0.0225565089565258
"11","Australia and New Zealand (M49)",1985,"hiv_related_indirect_percentage",0.0791162332325073,0.0791162332325073,0.0791162332325073
"12","Australia and New Zealand (M49)",1985,"lifetime_risk",0.00016497899695197,0.000201480286330347,0.00023933005247058
"13","Australia and New Zealand (M49)",1985,"lifetime_risk_1_in",6061,4963,4178
"14","Australia and New Zealand (M49)",1986,"mmr",7.93038419113959,9.44786480182255,10.9901332869206
"15","Australia and New Zealand (M49)",1986,"pm",0.00570725436561468,0.00679933863685746,0.00790926198134816
"16","Australia and New Zealand (M49)",1986,"maternal_deaths_aggregated_samples",23.4739372057732,27.9656798133947,32.530794529285
"17","Australia and New Zealand (M49)",1986,"maternal_deaths_summation_of_country_estimates",27.6445260220865,27.6445260220865,27.6445260220865
"18","Australia and New Zealand (M49)",1986,"mmr_rate",5.60362013961213e-06,5.60362013961213e-06,5.60362013961213e-06
"19","Australia and New Zealand (M49)",1986,"pm_mean",0.00680528499460677,0.00680528499460677,0.00680528499460677
"20","Australia and New Zealand (M49)",1986,"mmr_mean",9.45612742662758,9.45612742662758,9.45612742662758
"21","Australia and New Zealand (M49)",1986,"births",296000,296000,296000
"22","Australia and New Zealand (M49)",1986,"hiv_related_indirect_mmr",1.33069762959933e-07,1.33069762959933e-07,1.33069762959933e-07
"23","Australia and New Zealand (M49)",1986,"hiv_related_indirect_maternal_deaths",0.0393886498361401,0.0393886498361401,0.0393886498361401
"24","Australia and New Zealand (M49)",1986,"hiv_related_indirect_percentage",0.142482637628407,0.142482637628407,0.142482637628407
"25","Australia and New Zealand (M49)",1986,"lifetime_risk",0.000164658810481685,0.000196120348288237,0.000228196281272414
"26","Australia and New Zealand (M49)",1986,"lifetime_risk_1_in",6073,5099,4382
"27","Australia and New Zealand (M49)",1987,"mmr",8.52543601206012,9.88229439471946,11.2178418806099
"28","Australia and New Zealand (M49)",1987,"pm",0.00592762466540811,0.00687103063375268,0.00779961941302323
"29","Australia and New Zealand (M49)",1987,"maternal_deaths_aggregated_samples",25.4057993159392,29.449237296264,33.4291688042176
"30","Australia and New Zealand (M49)",1987,"maternal_deaths_summation_of_country_estimates",29.2637483123481,29.2637483123481,29.2637483123481
"31","Australia and New Zealand (M49)",1987,"mmr_rate",5.89202986154659e-06,5.89202986154659e-06,5.89202986154659e-06
"32","Australia and New Zealand (M49)",1987,"pm_mean",0.00686609157072801,0.00686609157072801,0.00686609157072801
"33","Australia and New Zealand (M49)",1987,"mmr_mean",9.87519076246316,9.87519076246316,9.87519076246316
"34","Australia and New Zealand (M49)",1987,"births",298000,298000,298000
"35","Australia and New Zealand (M49)",1987,"hiv_related_indirect_mmr",2.07578802763573e-07,2.07578802763573e-07,2.07578802763573e-07
"36","Australia and New Zealand (M49)",1987,"hiv_related_indirect_maternal_deaths",0.0618584832235448,0.0618584832235448,0.0618584832235448
"37","Australia and New Zealand (M49)",1987,"hiv_related_indirect_percentage",0.211382638216045,0.211382638216045,0.211382638216045
"38","Australia and New Zealand (M49)",1987,"lifetime_risk",0.00017688910968208,0.000205046771629424,0.000232864855248064
"39","Australia and New Zealand (M49)",1987,"lifetime_risk_1_in",5653,4877,4294
"40","Australia and New Zealand (M49)",1988,"mmr",9.05720481362919,10.2303460194203,11.4200473625671
"41","Australia and New Zealand (M49)",1988,"pm",0.0063688397737982,0.00719376849358171,0.00803034196068194
"42","Australia and New Zealand (M49)",1988,"maternal_deaths_aggregated_samples",27.4433305852964,30.9979484388436,34.6027435085785
"43","Australia and New Zealand (M49)",1988,"maternal_deaths_summation_of_country_estimates",30.7820260445266,30.7820260445266,30.7820260445266
"44","Australia and New Zealand (M49)",1988,"mmr_rate",6.26682061982606e-06,6.26682061982606e-06,6.26682061982606e-06
"45","Australia and New Zealand (M49)",1988,"pm_mean",0.00719765007602062,0.00719765007602062,0.00719765007602062
"46","Australia and New Zealand (M49)",1988,"mmr_mean",10.2358660652056,10.2358660652056,10.2358660652056
"47","Australia and New Zealand (M49)",1988,"births",303000,303000,303000
