"period","iso_alpha_3_code","parameter","0.1","0.5","0.9","estimate_version"
"2000, 2015","AFG","arr",-0.0726095874237543,3.64267173315426,6.6006523863883,"estimates_12-19-22"
"2000, 2015","AFG","percent_change_in_mmr",-1.09509753535335,42.0969867161672,62.8459662520694,"estimates_12-19-22"
"2000, 2020","AFG","arr",0.372460131051569,3.7600443401219,6.38819293931202,"estimates_12-19-22"
"2000, 2020","AFG","percent_change_in_mmr",7.17849790816043,52.8581415964556,72.1305361156357,"estimates_12-19-22"
"2010, 2020","AFG","arr",-0.973753290102866,3.84789207955811,7.1580661508455,"estimates_12-19-22"
"2010, 2020","AFG","percent_change_in_mmr",-10.2274016611415,31.9405910734666,51.1202318027799,"estimates_12-19-22"
"2000, 2005","AFG","arr",-0.926157039628402,3.90474947036599,7.26137326195921,"estimates_12-19-22"
"2000, 2005","AFG","percent_change_in_mmr",-4.73968109643978,17.7360718672431,30.4461321093939,"estimates_12-19-22"
"2005, 2010","AFG","arr",-1.28577958927255,4.19199551044719,8.0743320576357,"estimates_12-19-22"
"2005, 2010","AFG","percent_change_in_mmr",-6.64005242197446,18.9091269910084,33.2166643403756,"estimates_12-19-22"
"2010, 2015","AFG","arr",-2.37327067451263,3.36125792254326,6.99344740222843,"estimates_12-19-22"
"2010, 2015","AFG","percent_change_in_mmr",-12.5990996562906,15.4699333063976,29.5080986122356,"estimates_12-19-22"
"2015, 2020","AFG","arr",-1.06684706713587,4.35608418510202,8.68958187191847,"estimates_12-19-22"
"2015, 2020","AFG","percent_change_in_mmr",-5.47906954979306,19.5717102586117,35.2398066160454,"estimates_12-19-22"
"2016, 2020","AFG","arr",-1.0657500615168,4.59465435648754,9.24893210628382,"estimates_12-19-22"
"2016, 2020","AFG","percent_change_in_mmr",-4.3551711856945,16.7886286581314,30.9236160911218,"estimates_12-19-22"
"2000, 2015","ALB","arr",1.44791280702424,4.9634000691614,8.64477167655667,"estimates_12-19-22"
"2000, 2015","ALB","percent_change_in_mmr",19.5220468425829,52.5033017789751,72.6571661235238,"estimates_12-19-22"
"2000, 2020","ALB","arr",-0.363023826115235,2.78631130302198,6.33262993965009,"estimates_12-19-22"
"2000, 2020","ALB","percent_change_in_mmr",-7.53054602774824,42.7224960823222,71.8191035341213,"estimates_12-19-22"
"2010, 2020","ALB","arr",-4.30893360405332,0.405417259063769,5.27948224592842,"estimates_12-19-22"
"2010, 2020","ALB","percent_change_in_mmr",-53.8631464967424,3.97309036788183,41.0186103774407,"estimates_12-19-22"
"2000, 2005","ALB","arr",1.5753913409799,5.68802247330455,9.81320711418653,"estimates_12-19-22"
"2000, 2005","ALB","percent_change_in_mmr",7.57471214948624,24.7535243877465,38.7778023414352,"estimates_12-19-22"
"2005, 2010","ALB","arr",-0.512277904265918,4.76262550283759,10.2853283143145,"estimates_12-19-22"
"2005, 2010","ALB","percent_change_in_mmr",-2.5944811831221,21.190077348711,40.2060926781639,"estimates_12-19-22"
"2010, 2015","ALB","arr",-1.16961765233329,4.44267879149757,10.4140381250901,"estimates_12-19-22"
"2010, 2015","ALB","percent_change_in_mmr",-6.0224742832188,19.9191898085264,40.5896602195637,"estimates_12-19-22"
"2015, 2020","ALB","arr",-9.07229402904754,-3.54420370643783,2.04929973402019,"estimates_12-19-22"
"2015, 2020","ALB","percent_change_in_mmr",-57.399143023381,-19.3882004119833,9.7390246976456,"estimates_12-19-22"
"2016, 2020","ALB","arr",-11.2472565226008,-5.33982933212797,0.406011760105451,"estimates_12-19-22"
"2016, 2020","ALB","percent_change_in_mmr",-56.8140092223679,-23.8118853031235,1.61093041220267,"estimates_12-19-22"
"2000, 2015","DZA","arr",0.717203203220083,3.84845742455206,6.58267672883085,"estimates_12-19-22"
"2000, 2015","DZA","percent_change_in_mmr",10.1995692460277,43.857024099558,62.7456331935208,"estimates_12-19-22"
"2000, 2020","DZA","arr",0.61465934633653,3.5752858570189,6.23366730962747,"estimates_12-19-22"
"2000, 2020","DZA","percent_change_in_mmr",11.5676039137664,51.0835853450409,71.2557557541834,"estimates_12-19-22"
"2010, 2020","DZA","arr",-0.017563067209307,3.60305303901647,7.26215851860255,"estimates_12-19-22"
"2010, 2020","DZA","percent_change_in_mmr",-0.17578520650053,30.2536637662856,51.6263932478354,"estimates_12-19-22"
"2000, 2005","DZA","arr",-2.15314372008738,2.1575828940698,5.51408646142939,"estimates_12-19-22"
"2000, 2005","DZA","percent_change_in_mmr",-11.3665903869472,10.2263912456849,24.0962669945371,"estimates_12-19-22"
"2005, 2010","DZA","arr",0.900197119998808,4.90112883704613,8.69455771295614,"estimates_12-19-22"
"2005, 2010","DZA","percent_change_in_mmr",4.40119404272851,21.733963687224,35.2559178834869,"estimates_12-19-22"
"2010, 2015","DZA","arr",0.584798474262461,4.49523425196995,8.19600611219787,"estimates_12-19-22"
"2010, 2015","DZA","percent_change_in_mmr",2.88165733840093,20.1293482213418,33.6217208272858,"estimates_12-19-22"
"2015, 2020","DZA","arr",-1.64036744804803,2.75184625759427,7.11510015958278,"estimates_12-19-22"
"2015, 2020","DZA","percent_change_in_mmr",-8.54757536313505,12.8546099738391,29.9355741477412,"estimates_12-19-22"
"2016, 2020","DZA","arr",-1.25824240079048,3.33738604161513,7.98027171794544,"estimates_12-19-22"
"2016, 2020","DZA","percent_change_in_mmr",-5.16177538565204,12.4968540066633,27.3277707798136,"estimates_12-19-22"
"2000, 2015","AGO","arr",5.61084170100611,7.52597949940153,9.71416698041073,"estimates_12-19-22"
"2000, 2015","AGO","percent_change_in_mmr",56.8990958606997,67.6610216987322,76.7095095230902,"estimates_12-19-22"
"2000, 2020","AGO","arr",4.92354706382768,6.71310077240819,8.6990705554586,"estimates_12-19-22"
"2000, 2020","AGO","percent_change_in_mmr",62.6452235614445,73.8839509426189,82.4446969053672,"estimates_12-19-22"
"2010, 2020","AGO","arr",2.46811743532213,5.05837430103465,7.82950267484221,"estimates_12-19-22"
"2010, 2020","AGO","percent_change_in_mmr",21.8712219167804,39.6999606750385,54.2944383163062,"estimates_12-19-22"
"2000, 2005","AGO","arr",6.28244781681634,8.87744121581097,11.8449208103951,"estimates_12-19-22"
"2000, 2005","AGO","percent_change_in_mmr",26.9570361664952,35.8452505302777,44.6916358577464,"estimates_12-19-22"
"2005, 2010","AGO","arr",5.08709723518002,7.92135777101322,10.9291574963027,"estimates_12-19-22"
"2005, 2010","AGO","percent_change_in_mmr",22.4583411923369,32.7038991932834,42.1002937466685,"estimates_12-19-22"
"2010, 2015","AGO","arr",2.81221933792627,5.78606883858854,9.01077951039192,"estimates_12-19-22"
"2010, 2015","AGO","percent_change_in_mmr",13.1172744723321,25.1215041826189,36.2715410312586,"estimates_12-19-22"
"2015, 2020","AGO","arr",1.17218089571237,4.29074826338439,7.49612466183363,"estimates_12-19-22"
"2015, 2020","AGO","percent_change_in_mmr",5.69245875849934,19.3085377739774,31.2577534181843,"estimates_12-19-22"
"2016, 2020","AGO","arr",1.64428846582014,4.95794833405777,8.25151563928787,"estimates_12-19-22"
"2016, 2020","AGO","percent_change_in_mmr",6.36552349414279,17.9890928344047,28.1119847643624,"estimates_12-19-22"
"2000, 2015","ATG","arr",1.98316551854589,4.32821181919411,6.77982501463606,"estimates_12-19-22"
"2000, 2015","ATG","percent_change_in_mmr",25.730868405826,47.7553018227872,63.8312034072091,"estimates_12-19-22"
"2000, 2020","ATG","arr",2.26686672401848,4.47591462717159,6.70431312633588,"estimates_12-19-22"
"2000, 2020","ATG","percent_change_in_mmr",36.451916278345,59.1467139099846,73.8380102725337,"estimates_12-19-22"
"2010, 2020","ATG","arr",0.594329416355182,3.81138606105355,6.70419447497305,"estimates_12-19-22"
"2010, 2020","ATG","percent_change_in_mmr",5.77012781594505,31.6916796349747,48.8506008804249,"estimates_12-19-22"
"2000, 2005","ATG","arr",5.39098495086899,8.103981607939,11.8445663727167,"estimates_12-19-22"
"2000, 2005","ATG","percent_change_in_mmr",23.6276331014742,33.3155957917694,44.6906554210919,"estimates_12-19-22"
"2005, 2010","ATG","arr",-1.30510896389826,2.27182233317012,5.62897976445214,"estimates_12-19-22"
"2005, 2010","ATG","percent_change_in_mmr",-6.74316630679188,10.7377139970251,24.5310581661208,"estimates_12-19-22"
"2010, 2015","ATG","arr",-1.03946446608651,2.69242155832565,6.0684511397796,"estimates_12-19-22"
"2010, 2015","ATG","percent_change_in_mmr",-5.3347547787494,12.5952955325286,26.1712934675865,"estimates_12-19-22"
"2015, 2020","ATG","arr",1.21546682000888,4.94156193425772,8.48409025520854,"estimates_12-19-22"
"2015, 2020","ATG","percent_change_in_mmr",5.89634499090082,21.8920308551171,34.5709942133413,"estimates_12-19-22"
"2016, 2020","ATG","arr",-3.82474986500845,0.0594039204665628,3.71514845526682,"estimates_12-19-22"
"2016, 2020","ATG","percent_change_in_mmr",-16.5313330661746,0.237333473925445,13.809129914104,"estimates_12-19-22"
"2000, 2015","ARG","arr",3.06950991538244,3.96047544038188,4.88654526391997,"estimates_12-19-22"
"2000, 2015","ARG","percent_change_in_mmr",36.8985531531044,44.7924968911473,51.9525820230016,"estimates_12-19-22"
"2000, 2020","ARG","arr",1.31054239849961,2.3106295607164,3.3444316664989,"estimates_12-19-22"
"2000, 2020","ARG","percent_change_in_mmr",23.0572448084097,37.0056982011246,48.7721225131139,"estimates_12-19-22"
"2010, 2020","ARG","arr",0.121543945498687,2.10588737770583,4.19778799841369,"estimates_12-19-22"
"2010, 2020","ARG","percent_change_in_mmr",1.20808275847356,18.9892835138456,34.2807825224113,"estimates_12-19-22"
